ts,equity,position,action,pending_signal_ts,regime_ok,ret_8h,ret_24h,width_24h,ema_gap,date_sgt
2026-05-05 14:30:00+00:00,10000.0,0.0,HOLD,,False,,,,,2026-05-05
2026-05-05 14:45:00+00:00,10000.0,0.0,HOLD,,False,,,,0.0,2026-05-05
2026-05-05 15:00:00+00:00,10000.0,0.0,HOLD,,False,,,,7.43809529808459e-05,2026-05-05
2026-05-05 15:15:00+00:00,10000.0,0.0,HOLD,,False,,,,0.00031649683416179464,2026-05-05
2026-05-05 15:30:00+00:00,10000.0,0.0,HOLD,,False,,,,0.0005655330625362609,2026-05-05
2026-05-05 15:45:00+00:00,10000.0,0.0,HOLD,,False,,,,0.0007950775472906901,2026-05-05
2026-05-05 16:00:00+00:00,10000.0,0.0,HOLD,,False,,,,0.0009218629523184418,2026-05-06
2026-05-05 16:15:00+00:00,10000.0,0.0,HOLD,,False,,,,0.000964364762622294,2026-05-06
2026-05-05 16:30:00+00:00,10000.0,0.0,HOLD,,False,,,,0.0009737201546522467,2026-05-06
2026-05-05 16:45:00+00:00,10000.0,0.0,HOLD,,False,,,,0.0007153898700689165,2026-05-06
2026-05-05 17:00:00+00:00,10000.0,0.0,HOLD,,False,,,,0.0006580623289971221,2026-05-06
2026-05-05 17:15:00+00:00,10000.0,0.0,HOLD,,False,,,,0.0006275889275477731,2026-05-06
2026-05-05 17:30:00+00:00,10000.0,0.0,HOLD,,False,,,,0.0006689683960818815,2026-05-06
2026-05-05 17:45:00+00:00,10000.0,0.0,HOLD,,False,,,,0.0006111046625218997,2026-05-06
2026-05-05 18:00:00+00:00,10000.0,0.0,HOLD,,False,,,,0.0005379650001551273,2026-05-06
2026-05-05 18:15:00+00:00,10000.0,0.0,HOLD,,False,,,,0.0006968913554987743,2026-05-06
2026-05-05 18:30:00+00:00,10000.0,0.0,HOLD,,False,,,,0.0007543960444253983,2026-05-06
2026-05-05 18:45:00+00:00,10000.0,0.0,HOLD,,False,,,,0.0008449856797836386,2026-05-06
2026-05-05 19:00:00+00:00,10000.0,0.0,HOLD,,False,,,,0.0009181459008567039,2026-05-06
2026-05-05 19:15:00+00:00,10000.0,0.0,HOLD,,False,,,,0.0009428045315311717,2026-05-06
2026-05-05 19:30:00+00:00,10000.0,0.0,HOLD,,False,,,,0.0010181825980060122,2026-05-06
2026-05-05 19:45:00+00:00,10000.0,0.0,HOLD,,False,,,,0.0011744640803386108,2026-05-06
2026-05-05 20:00:00+00:00,10000.0,0.0,HOLD,,False,,,,0.0012634473585912964,2026-05-06
2026-05-05 20:15:00+00:00,10000.0,0.0,HOLD,,False,,,,0.0014091809965710578,2026-05-06
2026-05-05 20:30:00+00:00,10000.0,0.0,HOLD,,False,,,,0.0014259801391547366,2026-05-06
2026-05-05 20:45:00+00:00,10000.0,0.0,HOLD,,False,,,,0.0015133303263745734,2026-05-06
