openTime,open,high,low,close,volume
2019-09-08 16:00:00+00:00,10000.0,10412.65,10000.0,10391.63,3096.291
2019-09-09 00:00:00+00:00,10316.62,10316.68,10092.71,10149.47,3444.238
2019-09-09 08:00:00+00:00,10149.47,10475.54,10077.22,10314.26,5852.5
2019-09-09 16:00:00+00:00,10314.26,10420.65,10183.31,10307.0,5527.635
2019-09-10 00:00:00+00:00,10307.0,10382.97,10226.81,10272.46,3253.538
2019-09-10 08:00:00+00:00,10271.93,10290.01,10167.91,10179.1,2938.811
2019-09-10 16:00:00+00:00,10172.13,10237.41,9940.87,10102.02,2876.606
2019-09-11 00:00:00+00:00,10094.27,10293.11,9884.31,10067.46,2794.485
2019-09-11 08:00:00+00:00,10068.41,10138.01,9973.15,9991.84,2857.85
2019-09-11 16:00:00+00:00,9992.18,10184.66,9934.11,10159.55,5245.587
2019-09-12 00:00:00+00:00,10163.06,10205.46,10042.12,10078.96,5206.923
2019-09-12 08:00:00+00:00,10079.76,10365.15,10076.95,10326.58,5060.512
2019-09-12 16:00:00+00:00,10327.25,10450.13,10239.42,10415.13,5342.199
2019-09-13 00:00:00+00:00,10414.96,10440.55,10267.89,10284.03,6073.277
2019-09-13 08:00:00+00:00,10283.68,10344.0,10251.99,10296.57,6900.472
2019-09-13 16:00:00+00:00,10294.81,10355.85,10153.51,10341.34,6278.972
2019-09-14 00:00:00+00:00,10343.01,10353.72,10259.75,10316.67,6271.185
2019-09-14 08:00:00+00:00,10319.07,10396.4,10222.77,10358.0,7476.253
2019-09-14 16:00:00+00:00,10355.61,10419.97,10317.39,10332.25,6909.186
2019-09-15 00:00:00+00:00,10333.47,10359.2,10024.81,10308.96,6558.73
2019-09-15 08:00:00+00:00,10308.08,10320.0,10252.28,10306.37,7005.913
2019-09-15 16:00:00+00:00,10306.79,10332.61,10265.32,10302.22,6971.612
2019-09-16 00:00:00+00:00,10302.0,10353.81,10279.69,10302.3,6622.45
2019-09-16 08:00:00+00:00,10301.95,10316.71,10115.0,10120.07,6661.501
2019-09-16 16:00:00+00:00,10117.4,10329.38,10080.7,10249.27,6901.686
2019-09-17 00:00:00+00:00,10257.3,10261.36,10165.0,10201.89,7409.545
2019-09-17 08:00:00+00:00,10202.92,10244.27,10136.77,10201.14,7651.013
2019-09-17 16:00:00+00:00,10201.09,10270.63,10171.37,10186.52,7459.049
2019-09-18 00:00:00+00:00,10183.87,10256.65,10183.87,10198.54,7004.982
2019-09-18 08:00:00+00:00,10199.39,10210.0,10097.92,10172.91,7260.597
2019-09-18 16:00:00+00:00,10172.84,10212.25,10132.51,10155.16,6567.316
2019-09-19 00:00:00+00:00,10154.7,10185.55,9530.02,9872.38,8549.447
2019-09-19 08:00:00+00:00,9872.71,9895.37,9820.0,9880.36,7437.049
2019-09-19 16:00:00+00:00,9882.0,10331.62,9875.25,10245.3,10242.258
2019-09-20 00:00:00+00:00,10247.7,10279.3,10148.99,10156.45,7937.551
2019-09-20 08:00:00+00:00,10156.11,10236.19,10121.3,10180.66,7520.545
2019-09-20 16:00:00+00:00,10179.55,10189.13,10070.5,10166.35,7807.814
2019-09-21 00:00:00+00:00,10166.56,10175.3,9963.02,10079.89,8336.431
2019-09-21 08:00:00+00:00,10081.07,10081.07,9912.63,10037.11,7958.05
2019-09-21 16:00:00+00:00,10037.05,10056.0,9943.05,9983.33,7347.906
2019-09-22 00:00:00+00:00,9992.7,10053.56,9857.0,10023.53,8352.429
2019-09-22 08:00:00+00:00,10024.91,10089.52,9932.01,9989.89,7572.348
2019-09-22 16:00:00+00:00,9990.0,10073.46,9949.2,10023.04,7991.577
2019-09-23 00:00:00+00:00,10027.69,10046.91,9878.51,9904.0,8550.014
2019-09-23 08:00:00+00:00,9904.0,9968.49,9708.91,9867.06,11051.515
2019-09-23 16:00:00+00:00,9867.54,9883.89,9620.0,9701.96,12325.533
2019-09-24 00:00:00+00:00,9701.1,9792.83,9603.5,9755.67,6874.185
2019-09-24 08:00:00+00:00,9754.05,9768.0,9408.47,9530.0,19298.555
2019-09-24 16:00:00+00:00,8683.2,8689.49,8645.61,8645.61,10.814
2019-09-25 00:00:00+00:00,8493.32,8725.24,8200.0,8322.35,16106.624
2019-09-25 08:00:00+00:00,8325.28,8546.73,8215.0,8293.28,16562.258
2019-09-25 16:00:00+00:00,8295.79,8628.44,8223.71,8430.07,15553.22
2019-09-26 00:00:00+00:00,8428.15,8443.55,8316.61,8379.0,7405.768
2019-09-26 08:00:00+00:00,8378.75,8464.4,7825.89,7921.82,25370.663
2019-09-26 16:00:00+00:00,7924.55,8160.5,7700.67,8060.15,27289.514
2019-09-27 00:00:00+00:00,8061.98,8093.21,7940.37,8060.01,8336.599
2019-09-27 08:00:00+00:00,8060.0,8128.78,7851.94,7977.1,17998.778
2019-09-27 16:00:00+00:00,7976.3,8260.0,7934.73,8176.52,13699.276
2019-09-28 00:00:00+00:00,8178.26,8222.11,8120.02,8211.76,6159.385
2019-09-28 08:00:00+00:00,8212.47,8243.54,8001.14,8064.07,11124.565
2019-09-28 16:00:00+00:00,8067.1,8311.0,8038.28,8195.38,16536.969
2019-09-29 00:00:00+00:00,8199.0,8226.35,8040.11,8083.08,8679.183
2019-09-29 08:00:00+00:00,8086.33,8116.99,7888.98,7965.7,12710.217
2019-09-29 16:00:00+00:00,7965.7,8127.06,7918.75,8041.96,14576.656
2019-09-30 00:00:00+00:00,8042.08,8054.82,7709.01,7792.82,19656.986
2019-09-30 08:00:00+00:00,7793.19,8300.66,7775.01,8280.0,26128.526
2019-09-30 16:00:00+00:00,8277.05,8331.89,8162.0,8285.84,8627.008
2019-10-01 00:00:00+00:00,8285.31,8499.0,8171.0,8405.03,11104.588
2019-10-01 08:00:00+00:00,8400.79,8424.72,8270.0,8361.09,12342.595
2019-10-01 16:00:00+00:00,8361.18,8494.49,8225.03,8290.0,15765.621
2019-10-02 00:00:00+00:00,8290.0,8325.4,8149.35,8194.52,9905.402
2019-10-02 08:00:00+00:00,8194.76,8280.0,8185.28,8230.4,8787.909
2019-10-02 16:00:00+00:00,8230.41,8365.92,8177.29,8352.14,11635.868
2019-10-03 00:00:00+00:00,8353.4,8386.0,8237.37,8258.14,7764.734
2019-10-03 08:00:00+00:00,8258.9,8288.88,8020.0,8104.71,13391.822
2019-10-03 16:00:00+00:00,8104.41,8274.59,8086.0,8220.27,12273.674
2019-10-04 00:00:00+00:00,8219.95,8227.42,7979.95,8126.61,12656.02
2019-10-04 08:00:00+00:00,8130.0,8179.0,8080.81,8140.95,7258.959
2019-10-04 16:00:00+00:00,8142.63,8208.88,8121.1,8130.56,8506.132
2019-10-05 00:00:00+00:00,8130.0,8144.44,8089.5,8104.88,9310.691
2019-10-05 08:00:00+00:00,8104.88,8109.43,8010.0,8077.11,11097.41
2019-10-05 16:00:00+00:00,8075.3,8175.0,8028.14,8122.14,9853.905
2019-10-06 00:00:00+00:00,8122.01,8148.43,7889.64,7958.19,15133.615
2019-10-06 08:00:00+00:00,7959.39,8045.51,7859.03,7995.98,13812.293
2019-10-06 16:00:00+00:00,7995.98,8012.27,7760.0,7852.79,12963.131
2019-10-07 00:00:00+00:00,7851.01,7900.95,7764.42,7862.0,16422.059
2019-10-07 08:00:00+00:00,7862.0,8330.0,7862.0,8174.58,28635.741
2019-10-07 16:00:00+00:00,8173.58,8307.22,8133.52,8186.88,17702.499
2019-10-08 00:00:00+00:00,8188.55,8322.01,8188.04,8206.24,14682.035
2019-10-08 08:00:00+00:00,8206.24,8242.52,8132.0,8182.46,17163.257
2019-10-08 16:00:00+00:00,8183.46,8206.0,8103.88,8167.62,12869.873
2019-10-09 00:00:00+00:00,8168.33,8198.0,8113.0,8177.4,12256.443
2019-10-09 08:00:00+00:00,8173.72,8700.0,8154.34,8550.09,30644.83
2019-10-09 16:00:00+00:00,8549.48,8665.0,8490.9,8559.77,22552.37
2019-10-10 00:00:00+00:00,8559.77,8640.89,8495.7,8611.27,12525.826
2019-10-10 08:00:00+00:00,8611.75,8619.51,8419.34,8536.08,18915.256
2019-10-10 16:00:00+00:00,8536.03,8587.24,8482.48,8556.02,12844.586
2019-10-11 00:00:00+00:00,8557.0,8788.0,8332.6,8385.26,35942.508
2019-10-11 08:00:00+00:00,8384.6,8386.61,8268.51,8341.0,17869.243
2019-10-11 16:00:00+00:00,8341.0,8369.99,8210.0,8255.58,15346.213
2019-10-12 00:00:00+00:00,8255.54,8356.0,8248.34,8336.35,11784.866
2019-10-12 08:00:00+00:00,8336.33,8397.45,8289.26,8368.79,12732.846
2019-10-12 16:00:00+00:00,8368.94,8395.0,8290.5,8300.22,13243.802
2019-10-13 00:00:00+00:00,8300.31,8360.0,8277.32,8319.36,10207.708
2019-10-13 08:00:00+00:00,8318.76,8440.0,8316.06,8401.39,13814.333
2019-10-13 16:00:00+00:00,8401.39,8456.0,8137.3,8274.66,19798.872
2019-10-14 00:00:00+00:00,8274.33,8329.38,8243.87,8302.17,10899.274
2019-10-14 08:00:00+00:00,8302.13,8320.5,8241.19,8251.5,15058.666
2019-10-14 16:00:00+00:00,8252.34,8381.77,8205.02,8346.05,36041.881
2019-10-15 00:00:00+00:00,8346.31,8408.62,8272.0,8279.74,14940.869
2019-10-15 08:00:00+00:00,8278.14,8378.51,8235.0,8316.18,34475.813
2019-10-15 16:00:00+00:00,8316.16,8321.4,8080.0,8160.01,36830.067
2019-10-16 00:00:00+00:00,8160.55,8184.0,8119.48,8140.12,14619.389
2019-10-16 08:00:00+00:00,8135.0,8166.51,7900.24,7955.01,35671.826
2019-10-16 16:00:00+00:00,7952.23,8022.98,7901.01,7992.21,20143.237
2019-10-17 00:00:00+00:00,7994.76,7998.14,7930.0,7975.38,17566.778
2019-10-17 08:00:00+00:00,7975.0,8119.0,7971.91,8070.86,24878.211
2019-10-17 16:00:00+00:00,8069.84,8124.63,8036.93,8069.2,15909.613
2019-10-18 00:00:00+00:00,8069.41,8117.3,7821.01,7909.6,25662.231
2019-10-18 08:00:00+00:00,7909.6,7970.63,7812.0,7919.13,23207.003
2019-10-18 16:00:00+00:00,7916.23,7984.0,7906.22,7943.94,26382.118
2019-10-19 00:00:00+00:00,7945.57,7957.0,7892.85,7929.18,19254.793
2019-10-19 08:00:00+00:00,7929.18,8108.54,7852.12,7991.31,32594.254
2019-10-19 16:00:00+00:00,7994.1,7999.28,7883.14,7947.13,26175.348
2019-10-20 00:00:00+00:00,7947.78,7951.57,7871.17,7907.94,23653.436
2019-10-20 08:00:00+00:00,7906.94,8041.19,7890.0,8022.28,23727.86
2019-10-20 16:00:00+00:00,8023.35,8300.5,8007.0,8218.23,31282.619
2019-10-21 00:00:00+00:00,8218.23,8255.1,8178.0,8220.11,13564.74
2019-10-21 08:00:00+00:00,8220.03,8334.57,8160.0,8192.02,28566.25
2019-10-21 16:00:00+00:00,8193.0,8234.5,8150.0,8201.74,17797.526
2019-10-22 00:00:00+00:00,8201.0,8229.32,8164.78,8210.0,18363.138
2019-10-22 08:00:00+00:00,8210.72,8290.0,8165.0,8212.37,25650.717
2019-10-22 16:00:00+00:00,8212.74,8219.75,8000.0,8020.89,25493.025
2019-10-23 00:00:00+00:00,8020.68,8047.78,7917.11,7959.35,20712.959
2019-10-23 08:00:00+00:00,7959.35,8017.5,7402.0,7420.87,54541.832
2019-10-23 16:00:00+00:00,7425.0,7532.0,7172.76,7465.0,33229.348
2019-10-24 00:00:00+00:00,7465.18,7494.08,7337.44,7418.29,24435.507
2019-10-24 08:00:00+00:00,7417.23,7495.81,7388.92,7432.91,25726.732
2019-10-24 16:00:00+00:00,7433.27,7468.27,7409.0,7411.35,16557.295
2019-10-25 00:00:00+00:00,7410.07,7467.33,7359.0,7458.9,16734.878
2019-10-25 08:00:00+00:00,7458.32,8564.68,7440.0,8264.52,54487.465
2019-10-25 16:00:00+00:00,8267.5,8800.0,8257.25,8650.0,93896.583
2019-10-26 00:00:00+00:00,8650.0,10408.48,8626.89,9488.0,131217.968
2019-10-26 08:00:00+00:00,9488.0,9488.0,8951.62,9199.9,73665.288
2019-10-26 16:00:00+00:00,9199.89,9300.73,8873.98,9232.22,43277.905
2019-10-27 00:00:00+00:00,9234.75,9385.0,9066.07,9158.0,18864.214
2019-10-27 08:00:00+00:00,9158.01,9666.0,9157.25,9530.21,73742.417
2019-10-27 16:00:00+00:00,9531.36,9803.83,9381.34,9533.32,70937.388
2019-10-28 00:00:00+00:00,9534.37,9930.13,9282.12,9447.25,66414.444
2019-10-28 08:00:00+00:00,9447.25,9486.14,9254.47,9389.96,40134.176
2019-10-28 16:00:00+00:00,9389.98,9494.0,9156.03,9217.36,49051.355
2019-10-29 00:00:00+00:00,9215.78,9569.1,9200.0,9455.0,39508.108
2019-10-29 08:00:00+00:00,9454.58,9499.99,9269.0,9354.63,40017.312
2019-10-29 16:00:00+00:00,9352.65,9492.86,9070.0,9415.02,45177.594
2019-10-30 00:00:00+00:00,9415.02,9418.65,9155.0,9176.05,34574.221
2019-10-30 08:00:00+00:00,9176.08,9253.0,8975.72,9102.91,37971.262
2019-10-30 16:00:00+00:00,9103.86,9240.0,9020.0,9165.3,25919.375
2019-10-31 00:00:00+00:00,9163.4,9216.0,9065.0,9108.25,20503.701
2019-10-31 08:00:00+00:00,9106.53,9438.64,8933.0,9218.7,46503.801
2019-10-31 16:00:00+00:00,9218.7,9272.0,9011.0,9150.0,31828.542
2019-11-01 00:00:00+00:00,9149.88,9155.0,9051.0,9110.0,14823.136
2019-11-01 08:00:00+00:00,9110.46,9280.0,9062.0,9084.37,42477.077
2019-11-01 16:00:00+00:00,9084.37,9270.0,9050.27,9231.01,29956.736
2019-11-02 00:00:00+00:00,9231.7,9267.83,9194.98,9215.0,14504.526
2019-11-02 08:00:00+00:00,9215.0,9375.0,9200.01,9320.0,26350.541
2019-11-02 16:00:00+00:00,9319.0,9335.0,9266.0,9287.8,15746.988
2019-11-03 00:00:00+00:00,9288.96,9366.69,9223.53,9246.2,19145.635
2019-11-03 08:00:00+00:00,9246.2,9250.4,9105.0,9180.97,31056.768
2019-11-03 16:00:00+00:00,9180.97,9240.0,9073.0,9197.88,25410.319
2019-11-04 00:00:00+00:00,9197.86,9211.0,9126.01,9187.52,14690.409
2019-11-04 08:00:00+00:00,9187.0,9320.0,9158.0,9292.66,28597.626
2019-11-04 16:00:00+00:00,9292.68,9550.0,9245.7,9395.46,47145.322
2019-11-05 00:00:00+00:00,9395.47,9457.13,9164.33,9231.88,34184.238
2019-11-05 08:00:00+00:00,9233.05,9393.03,9201.45,9371.76,43632.593
2019-11-05 16:00:00+00:00,9372.15,9421.24,9250.0,9313.2,35921.395
2019-11-06 00:00:00+00:00,9313.1,9450.0,9272.0,9392.61,26749.151
2019-11-06 08:00:00+00:00,9392.64,9407.44,9315.0,9343.58,26105.125
2019-11-06 16:00:00+00:00,9343.6,9369.0,9259.48,9343.6,20913.635
2019-11-07 00:00:00+00:00,9344.29,9381.93,9220.0,9266.98,24021.639
2019-11-07 08:00:00+00:00,9267.0,9275.0,9130.0,9198.06,31915.934
2019-11-07 16:00:00+00:00,9198.56,9269.0,9091.2,9219.64,21451.996
2019-11-08 00:00:00+00:00,9221.63,9259.3,9120.0,9148.5,20989.378
2019-11-08 08:00:00+00:00,9148.66,9184.73,8669.85,8821.33,93231.221
2019-11-08 16:00:00+00:00,8823.66,8899.85,8720.0,8775.03,37630.561
2019-11-09 00:00:00+00:00,8775.6,8878.0,8730.0,8822.48,21927.284
2019-11-09 08:00:00+00:00,8821.6,8873.28,8762.99,8801.29,22998.497
2019-11-09 16:00:00+00:00,8801.58,8831.92,8727.0,8811.15,21920.611
2019-11-10 00:00:00+00:00,8811.3,8889.02,8760.0,8850.03,19867.646
2019-11-10 08:00:00+00:00,8848.51,8873.0,8787.01,8804.15,19351.142
2019-11-10 16:00:00+00:00,8803.84,9187.0,8792.01,9041.31,51880.409
2019-11-11 00:00:00+00:00,9041.31,9072.91,8720.0,8814.38,42535.234
2019-11-11 08:00:00+00:00,8814.22,8814.95,8611.11,8720.27,46861.846
2019-11-11 16:00:00+00:00,8719.62,8803.83,8698.78,8728.93,23976.682
2019-11-12 00:00:00+00:00,8729.89,8789.68,8706.17,8769.4,19225.68
2019-11-12 08:00:00+00:00,8769.18,8889.06,8552.12,8701.78,60210.14
2019-11-12 16:00:00+00:00,8701.78,8818.0,8680.03,8817.0,28084.726
2019-11-13 00:00:00+00:00,8817.94,8838.0,8712.0,8741.63,14168.755
2019-11-13 08:00:00+00:00,8741.6,8814.42,8732.0,8751.33,26075.036
2019-11-13 16:00:00+00:00,8751.95,8790.0,8742.3,8774.76,18342.02
2019-11-14 00:00:00+00:00,8774.78,8798.06,8649.4,8667.46,29533.142
2019-11-14 08:00:00+00:00,8669.29,8697.71,8581.39,8641.63,41596.319
2019-11-14 16:00:00+00:00,8641.63,8677.0,8626.36,8642.25,15970.534
2019-11-15 00:00:00+00:00,8642.47,8655.46,8515.0,8571.99,38332.546
2019-11-15 08:00:00+00:00,8571.98,8780.0,8380.0,8476.55,81605.147
2019-11-15 16:00:00+00:00,8476.51,8532.56,8430.89,8473.27,25664.804
2019-11-16 00:00:00+00:00,8473.3,8511.8,8435.0,8478.96,14916.163
2019-11-16 08:00:00+00:00,8479.17,8540.54,8455.0,8491.7,25480.017
2019-11-16 16:00:00+00:00,8492.2,8504.0,8455.0,8491.06,8260.86
2019-11-17 00:00:00+00:00,8491.18,8518.79,8382.87,8427.14,10059.964
2019-11-17 08:00:00+00:00,8425.14,8588.0,8355.78,8529.48,36841.508
2019-11-17 16:00:00+00:00,8529.48,8631.0,8481.73,8504.04,25250.794
2019-11-18 00:00:00+00:00,8504.13,8504.71,8417.0,8449.85,23772.855
2019-11-18 08:00:00+00:00,8450.11,8495.0,8372.07,8410.0,28983.44
2019-11-18 16:00:00+00:00,8410.0,8434.0,8050.0,8183.26,70720.847
2019-11-19 00:00:00+00:00,8183.3,8212.87,8091.77,8124.36,25687.497
2019-11-19 08:00:00+00:00,8125.0,8170.0,8000.0,8098.06,55242.091
2019-11-19 16:00:00+00:00,8097.93,8158.59,8051.61,8131.7,29924.442
2019-11-20 00:00:00+00:00,8131.12,8155.0,8077.86,8117.89,18673.209
2019-11-20 08:00:00+00:00,8117.8,8150.0,8037.5,8126.41,33914.995
2019-11-20 16:00:00+00:00,8127.52,8230.0,8067.0,8094.05,34764.176
2019-11-21 00:00:00+00:00,8094.57,8131.51,8072.1,8086.37,16140.916
2019-11-21 08:00:00+00:00,8086.37,8091.44,7432.0,7625.58,123050.015
2019-11-21 16:00:00+00:00,7625.09,7657.57,7545.25,7621.9,41098.258
2019-11-22 00:00:00+00:00,7621.89,7684.65,7389.68,7547.75,58510.085
2019-11-22 08:00:00+00:00,7548.06,7765.03,6762.73,7114.87,226598.805
2019-11-22 16:00:00+00:00,7115.82,7379.38,7092.0,7262.72,86105.061
2019-11-23 00:00:00+00:00,7261.89,7295.0,7118.8,7168.0,40590.836
2019-11-23 08:00:00+00:00,7167.81,7328.55,7073.38,7284.0,56165.811
2019-11-23 16:00:00+00:00,7284.54,7345.84,7220.0,7305.99,42886.664
2019-11-24 00:00:00+00:00,7306.19,7324.92,7150.0,7175.47,33628.65
2019-11-24 08:00:00+00:00,7176.11,7290.0,6941.29,6979.96,80022.285
2019-11-24 16:00:00+00:00,6979.75,7110.08,6855.91,6900.86,70025.143
2019-11-25 00:00:00+00:00,6899.77,6935.0,6510.19,6667.32,108051.294
2019-11-25 08:00:00+00:00,6667.36,7281.0,6629.27,7244.22,154105.712
2019-11-25 16:00:00+00:00,7245.0,7386.29,7081.72,7102.03,71830.908
2019-11-26 00:00:00+00:00,7103.34,7340.06,7060.0,7167.57,66105.988
2019-11-26 08:00:00+00:00,7167.56,7260.0,7011.9,7090.01,82407.11
2019-11-26 16:00:00+00:00,7090.0,7172.99,7025.0,7150.0,45448.996
2019-11-27 00:00:00+00:00,7149.97,7171.75,7032.18,7065.07,38558.764
2019-11-27 08:00:00+00:00,7066.19,7433.0,6850.0,7300.02,141500.719
2019-11-27 16:00:00+00:00,7300.72,7669.2,7209.4,7506.77,117783.511
2019-11-28 00:00:00+00:00,7506.78,7569.23,7411.63,7494.1,46013.986
2019-11-28 08:00:00+00:00,7493.93,7641.42,7416.0,7610.0,64951.881
2019-11-28 16:00:00+00:00,7609.0,7643.0,7356.0,7415.79,64034.742
2019-11-29 00:00:00+00:00,7417.0,7535.36,7394.57,7505.9,38757.465
2019-11-29 08:00:00+00:00,7507.41,7810.6,7400.0,7803.96,102348.736
2019-11-29 16:00:00+00:00,7804.95,7850.0,7660.0,7736.66,44712.985
