date,eth_close,spx_close,dxy_close,gold_close,vix_close
2024-06-24,,,105.47000122070312,2330.0,13.329999923706055
2024-06-25,,5469.2998046875,105.61000061035156,2316.60009765625,12.84000015258789
2024-06-26,3371.44,5477.89990234375,106.05000305175781,2299.199951171875,12.550000190734863
2024-06-27,3450.44,5482.8701171875,105.91000366210938,2324.5,12.239999771118164
2024-06-28,3380.15,5460.47998046875,105.87000274658203,2327.699951171875,12.4399995803833
2024-06-29,3378.8,,,,
2024-06-30,3438.16,,,,
2024-07-01,3442.2,5475.08984375,105.9000015258789,2327.60009765625,12.220000267028809
2024-07-02,3421.35,5509.009765625,105.72000122070312,2323.0,12.029999732971191
2024-07-03,3295.48,5537.02001953125,105.4000015258789,2359.800048828125,12.09000015258789
2024-07-04,3059.7,,,,
2024-07-05,2981.78,5567.18994140625,104.87999725341797,2388.5,12.479999542236328
2024-07-06,3066.83,,,,
2024-07-07,2931.0,,,,
2024-07-08,3019.01,5572.85009765625,105.01000213623047,2355.199951171875,12.369999885559082
2024-07-09,3066.65,5576.97998046875,105.12000274658203,2360.10009765625,12.510000228881836
2024-07-10,3101.05,5633.91015625,105.05000305175781,2372.199951171875,12.850000381469727
2024-07-11,3099.57,5584.5400390625,104.44000244140625,2415.0,12.920000076293945
2024-07-12,3133.88,5615.35009765625,104.08999633789062,2414.0,12.460000038146973
2024-07-13,3175.93,,,,
2024-07-14,3245.08,,,,
2024-07-15,3483.39,5631.22021484375,104.19000244140625,2422.89990234375,13.119999885559082
2024-07-16,3444.13,5667.2001953125,104.2699966430664,2462.39990234375,13.1899995803833
2024-07-17,3387.05,5588.27001953125,103.75,2454.800048828125,14.479999542236328
2024-07-18,3426.5,5544.58984375,104.16999816894531,2451.800048828125,15.930000305175781
2024-07-19,3503.53,5505.0,104.4000015258789,2395.5,16.520000457763672
2024-07-20,3517.5,,,,
2024-07-21,3535.92,,,,
2024-07-22,3439.6,5564.41015625,104.30999755859375,2392.0,14.90999984741211
2024-07-23,3482.51,5555.740234375,104.44999694824219,2404.60009765625,14.720000267028809
2024-07-24,3335.81,5427.1298828125,104.38999938964844,2413.300048828125,18.040000915527344
2024-07-25,3175.48,5399.22021484375,104.36000061035156,2351.89990234375,18.459999084472656
2024-07-26,3274.61,5459.10009765625,104.31999969482422,2380.0,16.389999389648438
2024-07-27,3249.01,,,,
2024-07-28,3270.16,,,,
2024-07-29,3317.66,5463.5400390625,104.55999755859375,2377.300048828125,16.600000381469727
2024-07-30,3279.21,5436.43994140625,104.55000305175781,2405.0,17.690000534057617
2024-07-31,3232.74,5522.2998046875,104.0999984741211,2426.5,16.360000610351562
2024-08-01,3203.4,5446.68017578125,104.41999816894531,2435.0,18.59000015258789
2024-08-02,2989.61,5346.56005859375,103.20999908447266,2425.699951171875,23.389999389648438
