date,trend_ret,trend_pos,funding_apy,funding_ret,funding_venue,ann_basis,basis_ret,basis_symbol,cash_ret,yield_ret,w_trend,w_funding,w_basis,w_yield,w_cash,portfolio_ret,equity,daily_pnl
2021-02-03 00:00:00+00:00,0.0103831356973005,0.1714733695451357,0.28912197500000003,0.001166945,binance,0.1988514712711677,-0.0051042052831465,BTCUSDT_210326,0.00013698630136986303,0.0002465753424657534,0.34782608695652173,0.21739130434782605,0.17391304347826086,0.26086956521739124,1.1102230246251565e-16,0.003041845282635327,100304.18452826353,0.0
2021-02-04 00:00:00+00:00,-0.0033754167861242,0.1850097888832045,0.3269005178571428,0.000940215,bybit,0.2750376455261519,-0.0022500680895349,BTCUSDT_210326,0.00013698630136986303,0.0002465753424657534,0.34782608695652173,0.21739130434782605,0.17391304347826086,0.26086956521739124,1.1102230246251565e-16,-0.0012966556344495078,100174.12454223608,-130.0599860274524
2021-02-05 00:00:00+00:00,0.0069540055881376,0.1899645830835754,0.3519741928571429,0.000809915,bybit,0.3030659339544171,-0.0065329963980376,BTCUSDT_210326,0.00013698630136986303,0.0002465753424657534,0.34782608695652173,0.21739130434782605,0.17391304347826086,0.26086956521739124,1.1102230246251565e-16,0.0015230037464236922,100326.69010920863,152.56556697255292
2021-02-06 00:00:00+00:00,0.0046623510902248,0.1997127604378956,0.33975321071428566,0.0010349,binance,0.3993828471084151,0.0033410365800442,BTCUSDT_210326,0.00013698630136986303,0.0002465753424657534,0.34782608695652173,0.21739130434782605,0.17391304347826086,0.26086956521739124,1.1102230246251565e-16,0.0024920394389899877,100576.7081777441,250.01806853547168
2021-02-07 00:00:00+00:00,-0.0020579768440681,0.2052861562192194,0.3870931892857143,0.001634365,binance,0.359577752613153,-0.0099923470880399,BTCUSDT_210326,0.00013698630136986303,0.0002465753424657534,0.34782608695652173,0.21739130434782605,0.17391304347826086,0.26086956521739124,1.1102230246251565e-16,-0.0020339967847786905,100372.13547668695,-204.57270105715725
2021-02-08 00:00:00+00:00,0.0399167676971176,0.2043300442678094,0.4516997535714285,0.001830735,binance,0.4400082415325364,0.0007531018415792,BTCUSDT_210326,0.00013698630136986303,0.0002465753424657534,0.34782608695652173,0.21739130434782605,0.17391304347826086,0.26086956521739124,1.1102230246251565e-16,0.014477377217306612,101825.26074408955,1453.1252674026036
2021-02-09 00:00:00+00:00,0.0001929718345662,0.219246970182442,0.5650236499999999,0.00347548,bybit,0.4371398525811603,0.0005155058915882,BTCUSDT_210326,0.00013698630136986303,0.0002465753424657534,0.34782608695652173,0.21739130434782605,0.17391304347826086,0.26086956521739124,1.1102230246251565e-16,0.000976636969464214,101924.70705815755,99.44631406800181
2021-02-10 00:00:00+00:00,-0.0076065545226125,0.2189159537264745,0.6648042214285715,0.00368338,bybit,0.4543066556636578,-0.0044799339754568,BTCUSDT_210326,0.00013698630136986303,0.0002465753424657534,0.34782608695652173,0.21739130434782605,0.17391304347826086,0.26086956521739124,1.1102230246251565e-16,-0.0025598182620840296,101663.79833167251,-260.90872648503864
2021-02-11 00:00:00+00:00,0.0153584626498854,0.2176706141009145,0.7856249571428571,0.003257325,bybit,0.5052712189617461,-0.0009329884753878,BTCUSDT_210326,0.00013698630136986303,0.0002465753424657534,0.34782608695652173,0.21739130434782605,0.17391304347826086,0.26086956521739124,1.1102230246251565e-16,0.005952253232709849,102268.92700394179,605.1286722692748
2021-02-12 00:00:00+00:00,-0.003352285400388,0.2340869905625516,0.8761746785714285,0.0025464850000000002,bybit,0.5412112971124216,0.0002906681667076,BTCUSDT_210326,0.00013698630136986303,0.0002465753424657534,0.34782608695652173,0.21739130434782605,0.17391304347826086,0.26086956521739124,1.1102230246251565e-16,-0.0004975536296295251,102218.04272811266,-50.884275829128455
2021-02-13 00:00:00+00:00,-0.0006547105636492,0.2279436711396171,0.9887120000000003,0.0026369949999999996,bybit,0.5507960169001898,-0.0025788013620991,BTCUSDT_210326,0.00013698630136986303,0.0002465753424657534,0.34782608695652173,0.21739130434782605,0.17391304347826086,0.26086956521739124,1.1102230246251565e-16,-3.862882186067317e-05,102214.09416554916,-3.9485625634988537
2021-02-14 00:00:00+00:00,0.0068881149570616,0.2280807034168431,0.992983282142857,0.0018135,bybit,0.5936986069148061,0.0026422568832381,BTCUSDT_210326,0.00013698630136986303,0.0002465753424657534,0.34782608695652173,0.21739130434782605,0.17391304347826086,0.26086956521739124,1.1102230246251565e-16,0.003313952141053901,102552.82678175496,338.7326162058016
2021-02-15 00:00:00+00:00,-0.003250122488605,0.2359565615936308,1.0875172392857142,0.0034433299999999997,bybit,0.5672490433537459,-0.0007780034271807,BTCUSDT_210326,0.00013698630136986303,0.0002465753424657534,0.34782608695652173,0.21739130434782605,0.17391304347826086,0.26086956521739124,1.1102230246251565e-16,-0.00045290832881601236,102506.37975236187,-46.447029393093544
2021-02-16 00:00:00+00:00,0.0058033573745205,0.2279391500129777,0.9835396892857144,0.00148139,bybit,0.5822671937881753,-0.0052341124020397,BTCUSDT_210326,0.00013698630136986303,0.0002465753424657534,0.34782608695652173,0.21739130434782605,0.17391304347826086,0.26086956521739124,1.1102230246251565e-16,0.0014946439757739008,102659.59029533713,153.21054297525552
2021-02-17 00:00:00+00:00,0.0141213070881882,0.2324516649222253,0.9357903892857142,0.00276764,bybit,0.6610915784326382,0.005410525116122,BTCUSDT_210326,0.00013698630136986303,0.0002465753424657534,0.34782608695652173,0.21739130434782605,0.17391304347826086,0.26086956521739124,1.1102230246251565e-16,0.006518704748903831,103328.79785411588,669.2075587787549
2021-02-18 00:00:00+00:00,-0.0027166791018898,0.2475872936217455,0.898390142857143,0.0025400600000000002,bybit,0.5760093143270719,0.0022966833874528,BTCUSDT_210326,0.00013698630136986303,0.0002465753424657534,0.34782608695652173,0.21739130434782605,0.17391304347826086,0.26086956521739124,1.1102230246251565e-16,7.100229519510088e-05,103336.13443592326,7.336581807379844
2021-02-19 00:00:00+00:00,0.0223420256151981,0.2648795658847482,0.9045424785714284,0.002664475,bybit,0.502159236677893,0.0022867849604693,BTCUSDT_210326,0.00013698630136986303,0.0002465753424657534,0.34782608695652173,0.21739130434782605,0.17391304347826086,0.26086956521739124,1.1102230246251565e-16,0.008812398774706805,104246.77366040934,910.6392244860763
2021-02-20 00:00:00+00:00,-0.0003246211836311,0.2714809907083049,0.8480772392857143,0.0015541,bybit,0.4683729772192297,-0.0009842197130828,BTCUSDT_210326,0.00013698630136986303,0.0002465753424657534,0.34782608695652173,0.21739130434782605,0.17391304347826086,0.26086956521739124,1.1102230246251565e-16,0.00011809146667019652,104259.08431480653,12.310654397195322
