date_cst,equity,pnl
2026-07-04,10000.0,0.0
2026-07-05,10000.0,0.0
2026-07-06,10035.1534544,35.153454400000555
2026-07-07,10035.1534544,0.0
2026-07-08,10035.1534544,0.0
2026-07-09,10035.1534544,0.0
2026-07-10,10035.1534544,0.0
2026-07-11,10035.1534544,0.0
2026-07-12,10035.1534544,0.0
2026-07-13,10021.643842070198,-13.509612329802621
2026-07-14,10014.350938565643,-7.292903504554488
2026-07-15,10014.350938565643,0.0
2026-07-16,10014.350938565643,0.0
2026-07-17,10014.350938565643,0.0
2026-07-18,10014.350938565643,0.0
2026-07-19,10014.350938565643,0.0
2026-07-20,10014.350938565643,0.0
2026-07-21,10014.350938565643,0.0
2026-07-22,10014.350938565643,0.0
2026-07-23,10014.350938565643,0.0
2026-07-24,10014.350938565643,0.0
2026-07-25,10021.123153739936,6.772215174292796
2026-07-26,10021.123153739936,0.0
2026-07-27,9949.17640632064,-71.94674741929703
2026-07-28,9924.527752374335,-24.648653946303966
2026-07-29,9924.527752374335,0.0
2026-07-30,9924.527752374335,0.0
2026-07-31,9924.527752374335,0.0
2026-08-01,9915.09626372732,-9.431488647014703
2026-08-02,9909.27591108979,-5.820352637530959
2026-08-03,9909.27591108979,0.0
