date,symbol,ann_basis,days_to_expiry,fut,spot,basis_pct,prev_symbol,roll,fut_now,spot_now,pnl_on_notional,pnl_on_capital,fees_on_notional,fees_on_capital,net_pnl,equity,year
2021-02-03 00:00:00+00:00,BTCUSDT_210326,0.19885147127116776,51,38664.1,37618.87,0.027784726122820697,,False,38664.1,37618.87,-0.00920841056629302,-0.00460420528314651,-0.001,-0.0005,-0.00510420528314651,0.9948957947168535,2021
2021-02-04 00:00:00+00:00,BTCUSDT_210326,0.27503764552615195,50,38328.3,36936.66,0.037676389798103005,BTCUSDT_210326,False,38328.3,36936.66,-0.004500136179069822,-0.002250068089534911,0.0,0.0,-0.002250068089534911,0.9926572114367487,2021
2021-02-05 00:00:00+00:00,BTCUSDT_210326,0.3030659339544171,49,39848.1,38290.24,0.04068556373634641,BTCUSDT_210326,False,39848.1,38290.24,-0.013065992796075336,-0.006532996398037668,0.0,0.0,-0.006532996398037668,0.9861721854499463,2021
2021-02-06 00:00:00+00:00,BTCUSDT_210326,0.3993828471084151,48,41245.1,39186.94,0.05252157989370938,BTCUSDT_210326,False,41245.1,39186.94,0.0066820731600885025,0.0033410365800442513,0.0,0.0,0.0033410365800442513,0.9894670227957567,2021
2021-02-07 00:00:00+00:00,BTCUSDT_210326,0.35957775261315306,47,40592.0,38795.69,0.04630179280224163,BTCUSDT_210326,False,40592.0,38795.69,-0.01998469417607986,-0.00999234708803993,0.0,0.0,-0.00999234708803993,0.979579924871812,2021
2021-02-08 00:00:00+00:00,BTCUSDT_210326,0.4400082415325364,46,48946.5,46374.87,0.05545309345341555,BTCUSDT_210326,False,48946.5,46374.87,0.0015062036831585413,0.0007531018415792706,0.0,0.0,0.0007531018415792706,0.9803176483172069,2021
2021-02-09 00:00:00+00:00,BTCUSDT_210326,0.4371398525811603,45,48922.2,46420.42,0.053893954427814285,BTCUSDT_210326,False,48922.2,46420.42,0.0010310117831764682,0.0005155058915882341,0.0,0.0,0.0005155058915882341,0.9808230078405423,2021
2021-02-10 00:00:00+00:00,BTCUSDT_210326,0.4543066556636578,44,47261.5,44807.58,0.05476573383342725,BTCUSDT_210326,False,47261.5,44807.58,-0.008959867950913688,-0.004479933975456844,0.0,0.0,-0.004479933975456844,0.9764289855238076,2021
2021-02-11 00:00:00+00:00,BTCUSDT_210326,0.5052712189617461,43,50824.9,47969.51,0.05952510250782214,BTCUSDT_210326,False,50824.9,47969.51,-0.0018659769507756497,-0.0009329884753878249,0.0,0.0,-0.0009329884753878249,0.9755179885332793,2021
2021-02-12 00:00:00+00:00,BTCUSDT_210326,0.5412112971124216,42,50232.5,47287.6,0.06227636843485399,BTCUSDT_210326,False,50232.5,47287.6,0.0005813363334152133,0.00029066816670760665,0.0,0.0,0.00029066816670760665,0.9758015405585966,2021
