ts,fundingRate
2026-04-01 08:00:00+00:00,5.24268041689e-05
2026-04-01 16:00:00+00:00,6.68365785286e-05
2026-04-02 00:00:00+00:00,2.17940143106e-05
2026-04-02 08:00:00+00:00,-2.60123913411e-05
2026-04-02 16:00:00+00:00,-5.01320273047e-05
2026-04-03 00:00:00+00:00,7.4845120418e-06
2026-04-03 08:00:00+00:00,1.90281918057e-05
2026-04-03 16:00:00+00:00,3.80139757857e-05
2026-04-04 00:00:00+00:00,1.91412379853e-05
2026-04-04 08:00:00+00:00,3.3980082706e-06
2026-04-04 16:00:00+00:00,-1.1320966547e-06
2026-04-05 00:00:00+00:00,-9.2438007197e-06
2026-04-05 08:00:00+00:00,1.87158112044e-05
2026-04-05 16:00:00+00:00,2.10979251291e-05
2026-04-06 00:00:00+00:00,7.09300578928e-05
2026-04-06 08:00:00+00:00,6.24348100084e-05
2026-04-06 16:00:00+00:00,6.87874653249e-05
2026-04-07 00:00:00+00:00,-3.25038879303e-05
2026-04-07 08:00:00+00:00,3.91224579442e-05
2026-04-07 16:00:00+00:00,5.33162602047e-05
2026-04-08 00:00:00+00:00,7.88734342289e-05
2026-04-08 08:00:00+00:00,0.0001
2026-04-08 16:00:00+00:00,0.0001
2026-04-09 00:00:00+00:00,4.31589561822e-05
2026-04-09 08:00:00+00:00,4.67784476811e-05
2026-04-09 16:00:00+00:00,0.0001
2026-04-10 00:00:00+00:00,2.71916702567e-05
2026-04-10 08:00:00+00:00,6.12589001435e-05
2026-04-10 16:00:00+00:00,-2.61465843046e-05
2026-04-11 00:00:00+00:00,-9.499073562e-07
2026-04-11 08:00:00+00:00,4.67297830294e-05
2026-04-11 16:00:00+00:00,5.53208680148e-05
2026-04-12 00:00:00+00:00,5.43867076809e-05
2026-04-12 08:00:00+00:00,-3.93759385751e-05
2026-04-12 16:00:00+00:00,7.34161268999e-05
2026-04-13 00:00:00+00:00,3.65276623483e-05
2026-04-13 08:00:00+00:00,7.45735407553e-05
2026-04-13 16:00:00+00:00,-4.09165288315e-05
2026-04-14 00:00:00+00:00,6.53638562014e-05
2026-04-14 08:00:00+00:00,8.43247781537e-05
2026-04-14 16:00:00+00:00,-4.25181840774e-05
2026-04-15 00:00:00+00:00,-0.0001094883251061
2026-04-15 08:00:00+00:00,-1.49855594031e-05
2026-04-15 16:00:00+00:00,-5.71022621168e-05
2026-04-16 00:00:00+00:00,-5.11257282684e-05
2026-04-16 08:00:00+00:00,-3.15058973773e-05
2026-04-16 16:00:00+00:00,-1.3061247762e-05
2026-04-17 00:00:00+00:00,9.0974170654e-06
2026-04-17 08:00:00+00:00,-4.2082641739e-06
2026-04-17 16:00:00+00:00,-8.69934861105e-05
2026-04-18 00:00:00+00:00,7.3572911425e-06
2026-04-18 08:00:00+00:00,-6.8674141482e-06
2026-04-18 16:00:00+00:00,-1.17053776205e-05
2026-04-19 00:00:00+00:00,-7.14846856104e-05
2026-04-19 08:00:00+00:00,-1.00773355932e-05
2026-04-19 16:00:00+00:00,-5.7104566861e-05
2026-04-20 00:00:00+00:00,1.14536200264e-05
2026-04-20 08:00:00+00:00,4.03213557316e-05
2026-04-20 16:00:00+00:00,-4.08986196174e-05
2026-04-21 00:00:00+00:00,-4.12862011945e-05
2026-04-21 08:00:00+00:00,3.52378802456e-05
2026-04-21 16:00:00+00:00,1.0889705699e-05
2026-04-22 00:00:00+00:00,-1.83064589195e-05
2026-04-22 08:00:00+00:00,2.56388069934e-05
2026-04-22 16:00:00+00:00,-3.34068078345e-05
2026-04-23 00:00:00+00:00,-4.08133686615e-05
2026-04-23 08:00:00+00:00,-8.00159588428e-05
2026-04-23 16:00:00+00:00,-2.77255814208e-05
2026-04-24 00:00:00+00:00,-4.75768414734e-05
2026-04-24 08:00:00+00:00,-4.9164856571e-06
2026-04-24 16:00:00+00:00,-1.87689866551e-05
2026-04-25 00:00:00+00:00,-1.83864133702e-05
2026-04-25 08:00:00+00:00,-3.82878019307e-05
2026-04-25 16:00:00+00:00,-6.14399950985e-05
2026-04-26 00:00:00+00:00,1.24680904313e-05
2026-04-26 08:00:00+00:00,4.58259885384e-05
2026-04-26 16:00:00+00:00,-4.4625313279e-06
2026-04-27 00:00:00+00:00,-3.94161045277e-05
2026-04-27 08:00:00+00:00,-6.29907601197e-05
2026-04-27 16:00:00+00:00,-5.29784340521e-05
2026-04-28 00:00:00+00:00,-9.95378713288e-05
2026-04-28 08:00:00+00:00,-8.46945606982e-05
2026-04-28 16:00:00+00:00,4.30025983087e-05
2026-04-29 00:00:00+00:00,3.84770050159e-05
2026-04-29 08:00:00+00:00,-4.28255342382e-05
2026-04-29 16:00:00+00:00,1.81048476583e-05
2026-04-30 00:00:00+00:00,-1.23350143559e-05
2026-04-30 08:00:00+00:00,-5.436910025e-06
2026-04-30 16:00:00+00:00,-6.00960022696e-05
2026-05-01 00:00:00+00:00,-2.59477550239e-05
2026-05-01 08:00:00+00:00,-9.210843292e-07
2026-05-01 16:00:00+00:00,-3.24683936345e-05
2026-05-02 00:00:00+00:00,-2.96713622132e-05
2026-05-02 08:00:00+00:00,7.65314976e-07
2026-05-02 16:00:00+00:00,-6.4207282441e-06
2026-05-03 00:00:00+00:00,3.1232914232e-05
2026-05-03 08:00:00+00:00,-4.40210772168e-05
2026-05-03 16:00:00+00:00,2.48259660801e-05
2026-05-04 00:00:00+00:00,1.31643449698e-05
2026-05-04 08:00:00+00:00,8.0446591039e-05
2026-05-04 16:00:00+00:00,-4.58047277264e-05
2026-05-05 00:00:00+00:00,-4.80020790019e-05
2026-05-05 08:00:00+00:00,3.67601291506e-05
2026-05-05 16:00:00+00:00,-2.49329738473e-05
2026-05-06 00:00:00+00:00,7.131574874e-07
2026-05-06 08:00:00+00:00,-3.94546572329e-05
2026-05-06 16:00:00+00:00,1.28483935393e-05
2026-05-07 00:00:00+00:00,-2.00730970558e-05
2026-05-07 08:00:00+00:00,5.0983030498e-06
2026-05-07 16:00:00+00:00,6.05485360377e-05
2026-05-08 00:00:00+00:00,3.54460516195e-05
2026-05-08 08:00:00+00:00,3.489182255e-07
2026-05-08 16:00:00+00:00,-6.2745502734e-06
2026-05-09 00:00:00+00:00,-4.9853222137e-06
2026-05-09 08:00:00+00:00,4.22967981051e-05
2026-05-09 16:00:00+00:00,-2.61407703311e-05
2026-05-10 00:00:00+00:00,5.91990759781e-05
2026-05-10 08:00:00+00:00,3.53120541056e-05
2026-05-10 16:00:00+00:00,9.9003004207e-06
2026-05-11 00:00:00+00:00,2.50931472841e-05
2026-05-11 08:00:00+00:00,0.0001
2026-05-11 16:00:00+00:00,1.04419087999e-05
2026-05-12 00:00:00+00:00,-5.63839236705e-05
2026-05-12 08:00:00+00:00,2.63186836902e-05
2026-05-12 16:00:00+00:00,-6.3522672516e-05
2026-05-13 00:00:00+00:00,-1.08837927404e-05
2026-05-13 08:00:00+00:00,4.43753742934e-05
2026-05-13 16:00:00+00:00,8.669156372e-05
2026-05-14 00:00:00+00:00,6.62390119952e-05
2026-05-14 08:00:00+00:00,3.87292207018e-05
2026-05-14 16:00:00+00:00,1.00278167472e-05
2026-05-15 00:00:00+00:00,3.56833691991e-05
2026-05-15 08:00:00+00:00,2.1478593278e-05
2026-05-15 16:00:00+00:00,1.15656523982e-05
2026-05-16 00:00:00+00:00,5.81911100179e-05
2026-05-16 08:00:00+00:00,8.54231884486e-05
2026-05-16 16:00:00+00:00,0.0001
2026-05-17 00:00:00+00:00,4.124226044e-05
2026-05-17 08:00:00+00:00,3.2084030747e-05
2026-05-17 16:00:00+00:00,-3.63449927545e-05
2026-05-18 00:00:00+00:00,-1.37406363163e-05
2026-05-18 08:00:00+00:00,6.60001578246e-05
2026-05-18 16:00:00+00:00,9.20522188935e-05
2026-05-19 00:00:00+00:00,8.6758144149e-05
2026-05-19 08:00:00+00:00,4.10900834455e-05
2026-05-19 16:00:00+00:00,0.0001
2026-05-20 00:00:00+00:00,6.8208650134e-05
2026-05-20 08:00:00+00:00,2.86372143688e-05
2026-05-20 16:00:00+00:00,6.95954753521e-05
2026-05-21 00:00:00+00:00,1.69303659234e-05
2026-05-21 08:00:00+00:00,2.13772759246e-05
2026-05-21 16:00:00+00:00,0.0001
2026-05-22 00:00:00+00:00,-1.64426833898e-05
2026-05-22 08:00:00+00:00,2.32942747095e-05
2026-05-22 16:00:00+00:00,7.84947056895e-05
2026-05-23 00:00:00+00:00,2.28466439083e-05
2026-05-23 08:00:00+00:00,3.8865087972e-05
2026-05-23 16:00:00+00:00,4.0288996575e-06
2026-05-24 00:00:00+00:00,6.46005503225e-05
2026-05-24 08:00:00+00:00,5.94269365717e-05
2026-05-24 16:00:00+00:00,4.37885346034e-05
2026-05-25 00:00:00+00:00,2.3288850922e-05
2026-05-25 08:00:00+00:00,-1.01054458323e-05
2026-05-25 16:00:00+00:00,5.9773379947e-06
2026-05-26 00:00:00+00:00,5.2431413321e-05
2026-05-26 08:00:00+00:00,2.01047785825e-05
2026-05-26 16:00:00+00:00,6.24817032964e-05
2026-05-27 00:00:00+00:00,5.38321463723e-05
2026-05-27 08:00:00+00:00,2.01365468022e-05
2026-05-27 16:00:00+00:00,0.0001
2026-05-28 00:00:00+00:00,9.7347204197e-05
2026-05-28 08:00:00+00:00,9.01431920054e-05
2026-05-28 16:00:00+00:00,0.0001
2026-05-29 00:00:00+00:00,8.22613661661e-05
2026-05-29 08:00:00+00:00,6.90249741874e-05
2026-05-29 16:00:00+00:00,5.04528084404e-05
2026-05-30 00:00:00+00:00,2.76952137454e-05
2026-05-30 08:00:00+00:00,2.72922964657e-05
2026-05-30 16:00:00+00:00,1.3613413701e-05
2026-05-31 00:00:00+00:00,-2.6552209543e-06
2026-05-31 08:00:00+00:00,-1.4934683232e-06
2026-05-31 16:00:00+00:00,2.19344236021e-05
2026-06-01 00:00:00+00:00,4.66943658692e-05
2026-06-01 08:00:00+00:00,2.36646806892e-05
2026-06-01 16:00:00+00:00,0.0001
2026-06-02 00:00:00+00:00,0.0001
2026-06-02 08:00:00+00:00,0.0001
2026-06-02 16:00:00+00:00,0.0001
2026-06-03 00:00:00+00:00,8.65678874748e-05
2026-06-03 08:00:00+00:00,2.78658186139e-05
2026-06-03 16:00:00+00:00,0.0001
2026-06-04 00:00:00+00:00,9.87113820589e-05
2026-06-04 08:00:00+00:00,2.09870467977e-05
2026-06-04 16:00:00+00:00,1.5995235891e-06
2026-06-05 00:00:00+00:00,3.66527172313e-05
2026-06-05 08:00:00+00:00,2.06005907985e-05
2026-06-05 16:00:00+00:00,-4.95880636278e-05
2026-06-06 00:00:00+00:00,-2.51353994586e-05
2026-06-06 08:00:00+00:00,-3.37977745229e-05
2026-06-06 16:00:00+00:00,5.2962402562e-06
2026-06-07 00:00:00+00:00,-1.2707252249e-05
2026-06-07 08:00:00+00:00,-7.81048412537e-05
2026-06-07 16:00:00+00:00,2.90588944828e-05
2026-06-08 00:00:00+00:00,5.51876461949e-05
2026-06-08 08:00:00+00:00,4.24550662021e-05
2026-06-08 16:00:00+00:00,-7.55486509945e-05
2026-06-09 00:00:00+00:00,-1.25192203038e-05
2026-06-09 08:00:00+00:00,-7.6999774469e-06
2026-06-09 16:00:00+00:00,3.6350401157e-05
2026-06-10 00:00:00+00:00,4.76144458983e-05
2026-06-10 08:00:00+00:00,-1.59316750235e-05
2026-06-10 16:00:00+00:00,-8.7786677452e-06
2026-06-11 00:00:00+00:00,-4.34625906886e-05
2026-06-11 08:00:00+00:00,-6.03239409731e-05
2026-06-11 16:00:00+00:00,-2.39606392713e-05
2026-06-12 00:00:00+00:00,-4.9527169637e-06
2026-06-12 08:00:00+00:00,1.3381574222e-05
2026-06-12 16:00:00+00:00,-2.23589457138e-05
2026-06-13 00:00:00+00:00,9.1148532304e-06
2026-06-13 08:00:00+00:00,8.6943079192e-06
2026-06-13 16:00:00+00:00,-6.39574741838e-05
2026-06-14 00:00:00+00:00,-3.1294023986e-05
2026-06-14 08:00:00+00:00,-3.38984808092e-05
2026-06-14 16:00:00+00:00,-7.59112940001e-05
2026-06-15 00:00:00+00:00,-5.83460493709e-05
2026-06-15 08:00:00+00:00,-6.89247750096e-05
2026-06-15 16:00:00+00:00,-7.39035810096e-05
2026-06-16 00:00:00+00:00,-1.30999107801e-05
2026-06-16 08:00:00+00:00,-5.92277212018e-05
2026-06-16 16:00:00+00:00,-1.08643309843e-05
2026-06-17 00:00:00+00:00,3.59942934559e-05
2026-06-17 08:00:00+00:00,-2.4895073548e-05
2026-06-17 16:00:00+00:00,-3.42401528489e-05
2026-06-18 00:00:00+00:00,4.9965386896e-06
2026-06-18 08:00:00+00:00,2.71213062112e-05
2026-06-18 16:00:00+00:00,3.5651907852e-05
2026-06-19 00:00:00+00:00,1.3446105841e-06
2026-06-19 08:00:00+00:00,3.24496957995e-05
2026-06-19 16:00:00+00:00,-4.9910259435e-06
2026-06-20 00:00:00+00:00,2.05881918658e-05
2026-06-20 08:00:00+00:00,-1.88323191508e-05
2026-06-20 16:00:00+00:00,2.0836725788e-06
2026-06-21 00:00:00+00:00,-8.8262165972e-06
2026-06-21 08:00:00+00:00,-1.4922291748e-05
