date_cst,equity,pnl
2026-07-04,10000.0,0.0
2026-07-05,10000.0,0.0
2026-07-06,10131.673900272568,131.67390027256806
2026-07-07,10208.178481651059,76.50458137849091
2026-07-08,10064.336209140425,-143.84227251063385
2026-07-09,10151.110312315343,86.7741031749174
2026-07-10,10151.110312315343,0.0
2026-07-11,10211.901158266439,60.790845951096344
2026-07-12,10211.901158266439,0.0
2026-07-13,10072.644799329013,-139.25635893742583
2026-07-14,10135.322344905067,62.6775455760544
2026-07-15,10135.322344905067,0.0
2026-07-16,10198.699848418175,63.37750351310751
2026-07-17,10208.784801797117,10.084953378942373
2026-07-18,10208.784801797117,0.0
2026-07-19,10208.784801797117,0.0
2026-07-20,10384.681040292835,175.89623849571763
2026-07-21,10384.681040292835,0.0
2026-07-22,10443.406311692854,58.725271400018755
2026-07-23,10501.072867453797,57.66655576094308
2026-07-24,10475.385595606009,-25.687271847787997
2026-07-25,10456.97508469664,-18.410510909368895
2026-07-26,10456.97508469664,0.0
2026-07-27,10456.97508469664,0.0
2026-07-28,10315.759254124689,-141.2158305719513
2026-07-29,10315.759254124689,0.0
2026-07-30,10368.24434731949,52.485093194802175
2026-07-31,10144.088769815542,-224.15557750394873
2026-08-01,10185.99561570404,41.90684588849763
2026-08-02,10185.99561570404,0.0
2026-08-03,10263.299702617725,77.30408691368575
