ts,fundingRate,spot_close,perp_close,leg_pnl_on_notional,funding_pnl_on_notional,net_pnl,equity
2019-09-10 08:00:00+00:00,0.0001,10175.07,10179.1,0.0,0.0001,-0.00045,0.99955
2019-09-10 16:00:00+00:00,0.0001,10098.15,10102.02,1.2725545263880811e-05,0.0001,5.636277263194041e-05,0.9996063374093843
2019-09-11 00:00:00+00:00,0.0001,10066.0,10067.46,0.0002373464793948843,0.0001,0.00016867323969744214,0.9997749442487373
2019-09-11 08:00:00+00:00,0.0001,9990.07,9991.84,-3.1886205019260316e-05,0.0001,3.4056897490369844e-05,0.999808993481527
2019-09-11 16:00:00+00:00,0.0001,10158.33,10159.55,5.802851356118133e-05,0.0001,7.901425678059066e-05,0.9998879926460694
2019-09-12 00:00:00+00:00,0.0001,10079.79,10078.96,0.00020085215047149774,0.0001,0.00015042607523574886,1.0000384018724786
2019-09-12 08:00:00+00:00,0.0001,10326.52,10326.58,-9.031849365093159e-05,0.0001,4.840753174534209e-06,1.000043242811547
2019-09-12 16:00:00+00:00,0.0001,10415.01,10415.13,-5.760459715453692e-06,0.0001,4.7119770142273156e-05,1.000090364619281
2019-09-13 00:00:00+00:00,0.0001,10283.16,10284.03,-7.215648327074664e-05,0.0001,1.3921758364626682e-05,1.0001042876356798
2019-09-13 08:00:00+00:00,0.0001,10296.3,10296.57,5.845098673118443e-05,0.0001,7.922549336559221e-05,1.0001835213912849
2019-09-13 16:00:00+00:00,0.0001,10342.06,10341.34,9.626506351501085e-05,0.0001,9.813253175750542e-05,1.0002816719324612
2019-09-14 00:00:00+00:00,0.0001,10319.0,10316.67,0.00015584106174826307,0.0001,0.00012792053087413153,1.0004096284949586
2019-09-14 08:00:00+00:00,0.0001,10356.32,10358.0,-0.0003895081210096851,0.0001,-0.00014475406050484257,1.0002648151390658
2019-09-14 16:00:00+00:00,0.0001,10335.02,10332.25,0.0004292860319161651,0.0001,0.0002646430159580826,1.000529528236501
2019-09-15 00:00:00+00:00,0.0001,10308.42,10308.96,-0.0003196661567000936,0.0001,-0.00010983307835004679,1.0004196369984346
2019-09-15 08:00:00+00:00,0.0001,10307.97,10306.37,0.00020758412362009704,0.0001,0.00015379206181004851,1.0005734935970838
2019-09-15 16:00:00+00:00,0.0001,10302.01,10302.22,-0.00017552978309454126,0.0001,-3.776489154727063e-05,1.000535707047613
2019-09-16 00:00:00+00:00,0.0001,10302.25,10302.3,1.5531108076505262e-05,0.0001,5.7765554038252634e-05,1.0005935035470659
2019-09-16 08:00:00+00:00,0.0001,10117.49,10120.07,-0.0002456632691073546,0.0001,-7.28316345536773e-05,1.0005206286866788
2019-09-16 16:00:00+00:00,0.0001,10251.31,10249.27,0.00045989055705386583,0.0001,0.00027994527852693294,1.0008007197127484
2019-09-17 00:00:00+00:00,0.0001,10203.61,10201.89,-3.0295596636586986e-05,0.0001,3.485220168170651e-05,1.000835599821275
2019-09-17 08:00:00+00:00,0.0001,10200.6,10201.14,-0.00022147784488446565,0.0001,-6.073892244223282e-05,1.0007748101454002
2019-09-17 16:00:00+00:00,0.0001,10187.82,10186.52,0.0001803056767734068,0.0001,0.0001401528383867034,1.0009150715756279
2019-09-18 00:00:00+00:00,0.0001,10199.92,10198.54,7.701943295579383e-06,0.0001,5.3850971647789694e-05,1.0009689718247692
2019-09-18 08:00:00+00:00,0.0001,10173.4,10172.91,-8.691557535278616e-05,0.0001,6.542212323606924e-06,1.0009755203763122
2019-09-18 16:00:00+00:00,0.0001,10156.99,10155.16,0.00013180008323365744,0.0001,0.00011590004161682872,1.0010915334807813
2019-09-19 00:00:00+00:00,0.0001,9875.49,9872.38,0.00013103863196839427,0.0001,0.00011551931598419713,1.0012071788899666
2019-09-19 08:00:00+00:00,0.0001,9882.0,9880.36,-0.0001491079290147912,0.0001,-2.4553964507395596e-05,1.0011825952844315
2019-09-19 16:00:00+00:00,0.0001,10244.29,10245.3,-0.00027429415885826813,0.0001,-8.714707942913407e-05,1.0010953451452773
2019-09-20 00:00:00+00:00,0.0001,10157.22,10156.45,0.00017290031891603608,0.0001,0.00013645015945801803,1.001231944764755
2019-09-20 08:00:00+00:00,0.0001,10179.82,10180.66,-0.00015868864259283022,0.0001,-2.9344321296415108e-05,1.0012025642928757
2019-09-20 16:00:00+00:00,0.0001,10168.59,10166.35,0.00030244339199458903,0.0001,0.0002012216959972945,1.0014040279708996
2019-09-21 00:00:00+00:00,0.0001,10081.42,10079.89,-6.79494265275471e-05,0.0001,1.6025286736226454e-05,1.0014200757575866
2019-09-21 08:00:00+00:00,0.0001,10037.09,10037.11,-0.00015310408020718924,0.0001,-2.655204010359462e-05,1.0013934860115745
2019-09-21 16:00:00+00:00,0.0001,9986.39,9983.33,0.0003068511727681855,0.0001,0.00020342558638409276,1.0015971950686677
2019-09-22 00:00:00+00:00,0.0001,10026.57,10023.53,-3.2365790181287935e-06,0.0001,4.8381710490935606e-05,1.0016456540541883
