ts,open,high,low,close,volume,quoteVolume,trades
2026-04-18 16:45:00+00:00,75987.41,76018.95,75860.89,75943.35,103.06392,7825239.6906423,20744
2026-04-18 17:00:00+00:00,75943.34,75958.23,75778.69,75830.0,101.4435,7697622.0940093,28552
2026-04-18 17:15:00+00:00,75830.01,75896.91,75800.0,75860.75,54.99265,4171586.774485,17728
2026-04-18 17:30:00+00:00,75860.75,75896.04,75853.86,75878.7,60.26168,4572828.499917,13331
2026-04-18 17:45:00+00:00,75878.7,75895.64,75828.5,75828.51,39.3594,2986605.4948925,9460
2026-04-18 18:00:00+00:00,75828.51,75844.66,75691.48,75803.95,88.47117,6702144.3523013,23736
2026-04-18 18:15:00+00:00,75803.96,75803.96,75602.0,75665.73,105.17072,7957714.5502337,27122
2026-04-18 18:30:00+00:00,75665.74,75676.21,75445.16,75574.09,186.22122,14070586.9883272,43593
2026-04-18 18:45:00+00:00,75574.1,75727.58,75538.76,75651.78,211.60835,16009338.881242,28879
2026-04-18 19:00:00+00:00,75651.78,75792.04,75626.02,75745.35,63.47522,4806416.2762749,19490
2026-04-18 19:15:00+00:00,75745.35,75796.32,75622.0,75693.97,31.02727,2349254.6393684,13839
2026-04-18 19:30:00+00:00,75693.97,75694.63,75574.22,75596.16,37.05315,2801332.0571034,13209
2026-04-18 19:45:00+00:00,75596.16,75679.84,75576.0,75649.85,62.76306,4746201.2291991,13631
2026-04-18 20:00:00+00:00,75649.86,75709.91,75608.44,75697.97,43.99658,3328665.8115312,18851
2026-04-18 20:15:00+00:00,75697.97,75777.97,75623.57,75718.0,274.04631,20744006.070782,17642
2026-04-18 20:30:00+00:00,75718.01,75789.68,75705.99,75789.67,54.9434,4161552.060419,9436
2026-04-18 20:45:00+00:00,75789.67,75834.3,75732.0,75754.78,111.98514,8488042.1766905,13047
2026-04-18 21:00:00+00:00,75754.77,75839.1,75710.22,75730.29,77.54317,5876625.3915132,15319
2026-04-18 21:15:00+00:00,75730.3,75749.64,75599.64,75741.2,58.22243,4405547.8277615,14386
2026-04-18 21:30:00+00:00,75741.2,75748.74,75665.11,75723.43,30.30549,2294320.7313683,8736
2026-04-18 21:45:00+00:00,75723.42,75821.35,75723.42,75821.34,31.87239,2415363.4096714,13335
2026-04-18 22:00:00+00:00,75821.35,75821.35,75610.34,75610.35,42.38458,3208010.4802262,16960
2026-04-18 22:15:00+00:00,75610.34,75729.04,75608.89,75722.26,30.19085,2285067.8560124,8190
2026-04-18 22:30:00+00:00,75722.26,75815.7,75722.25,75775.78,33.65032,2549646.3933463,8727
2026-04-18 22:45:00+00:00,75775.78,75873.1,75775.77,75813.53,49.46997,3750907.0715152,12039
2026-04-18 23:00:00+00:00,75813.53,75891.64,75807.31,75818.23,39.73654,3013836.2622367,10987
2026-04-18 23:15:00+00:00,75818.23,75847.2,75802.44,75816.86,29.10753,2207211.8023173,7643
2026-04-18 23:30:00+00:00,75816.86,75816.86,75698.7,75753.35,44.07667,3338793.7713899,9948
2026-04-18 23:45:00+00:00,75753.35,75763.41,75685.69,75691.76,29.03911,2198778.8009441,5619
2026-04-19 00:00:00+00:00,75691.76,75847.42,75685.99,75771.13,46.15915,3496427.0399041,12050
2026-04-19 00:15:00+00:00,75771.14,75771.14,75570.0,75610.54,66.60282,5037163.8491022,20991
2026-04-19 00:30:00+00:00,75610.54,75645.68,75551.73,75576.78,52.84413,3994657.596624,14444
2026-04-19 00:45:00+00:00,75576.79,75693.11,75576.79,75693.01,131.45823,9947978.2540581,12022
2026-04-19 01:00:00+00:00,75693.0,75798.47,75609.12,75682.12,173.36924,13127467.8369976,24112
2026-04-19 01:15:00+00:00,75681.72,75681.72,75544.78,75544.79,41.76166,3157603.2820765,11944
2026-04-19 01:30:00+00:00,75544.79,75578.7,75457.11,75546.42,66.90677,5053204.6591326,15729
2026-04-19 01:45:00+00:00,75546.43,75642.53,75546.42,75621.95,39.49749,2986191.6890106,7612
2026-04-19 02:00:00+00:00,75621.96,75634.85,75586.0,75634.84,25.3574,1917114.7124375,8265
2026-04-19 02:15:00+00:00,75634.84,75683.2,75407.84,75487.99,88.33286,6671265.1418195,23661
2026-04-19 02:30:00+00:00,75487.98,75722.21,75445.5,75652.92,63.54554,4799845.9309741,23227
2026-04-19 02:45:00+00:00,75652.92,75683.13,75496.0,75496.0,35.25354,2664747.1605643,13827
2026-04-19 03:00:00+00:00,75496.01,75540.16,75357.0,75540.15,66.88535,5045626.2831065,23761
2026-04-19 03:15:00+00:00,75540.16,75555.68,75468.85,75519.82,45.14713,3408645.0945734,12667
2026-04-19 03:30:00+00:00,75519.83,75610.97,75490.0,75598.06,35.55667,2686641.7856687,13586
2026-04-19 03:45:00+00:00,75598.06,75637.44,75509.54,75515.77,27.69889,2093467.2912742,10522
2026-04-19 04:00:00+00:00,75515.76,75739.94,75515.76,75701.92,49.41476,3737768.6675165,18223
2026-04-19 04:15:00+00:00,75701.91,75782.63,75660.1,75676.35,59.45571,4502199.564931,16302
2026-04-19 04:30:00+00:00,75676.36,75676.36,75424.4,75535.22,138.5636,10469093.0349,27539
2026-04-19 04:45:00+00:00,75535.22,75707.43,75512.61,75664.62,47.17018,3566274.2638321,16983
2026-04-19 05:00:00+00:00,75664.62,75687.04,75528.26,75555.88,79.03535,5973720.116013,10738
2026-04-19 05:15:00+00:00,75555.87,75559.99,75516.39,75556.22,24.15893,1825192.7931565,6801
2026-04-19 05:30:00+00:00,75556.22,75664.98,75556.21,75600.0,32.71575,2474136.7719677,12998
2026-04-19 05:45:00+00:00,75600.0,75600.01,75535.22,75545.6,38.72783,2926412.1626037,6218
2026-04-19 06:00:00+00:00,75545.6,75545.6,75389.39,75389.39,169.19903,12769502.7180251,20446
2026-04-19 06:15:00+00:00,75389.4,75434.86,75280.92,75406.0,122.90945,9262662.2700188,25036
2026-04-19 06:30:00+00:00,75406.01,75478.0,75406.0,75422.93,43.32149,3268381.2042056,10149
2026-04-19 06:45:00+00:00,75422.92,75424.43,75361.35,75400.09,49.88597,3761027.4882909,6475
2026-04-19 07:00:00+00:00,75400.09,75400.09,75209.09,75238.0,121.1788,9122798.5047762,18708
2026-04-19 07:15:00+00:00,75238.0,75238.01,74867.72,74979.99,410.92389,30833201.2864738,64554
2026-04-19 07:30:00+00:00,74980.0,75253.04,74979.99,75181.27,154.87474,11632524.1427843,33434
2026-04-19 07:45:00+00:00,75181.27,75287.05,75139.69,75252.34,84.63752,6365179.6492716,15353
2026-04-19 08:00:00+00:00,75252.33,75283.33,75173.51,75265.99,92.45186,6954561.7909001,15049
2026-04-19 08:15:00+00:00,75265.99,75299.99,75140.0,75140.0,69.66789,5240450.4573075,14810
2026-04-19 08:30:00+00:00,75140.01,75254.13,75071.58,75228.09,94.07605,7070855.5256563,22457
2026-04-19 08:45:00+00:00,75228.09,75265.0,75170.01,75257.6,77.38681,5822069.1489402,17026
2026-04-19 09:00:00+00:00,75257.59,75265.0,75166.73,75169.71,51.24752,3854532.0375869,16045
2026-04-19 09:15:00+00:00,75169.71,75184.83,74955.46,75091.54,80.97687,6077994.7352504,21822
2026-04-19 09:30:00+00:00,75091.54,75167.41,75055.01,75063.21,50.35874,3782186.4374133,18147
2026-04-19 09:45:00+00:00,75063.21,75063.22,74921.74,75015.0,130.63302,9797102.1590486,20482
2026-04-19 10:00:00+00:00,75015.0,75091.0,74933.87,75033.81,85.07912,6381840.4326456,21182
2026-04-19 10:15:00+00:00,75033.8,75121.28,74996.0,75077.93,73.30564,5501352.8798328,18532
2026-04-19 10:30:00+00:00,75077.93,75102.19,75055.34,75088.98,43.03016,3230838.9577977,13325
2026-04-19 10:45:00+00:00,75088.97,75243.02,75049.68,75222.45,121.7698,9149723.0274809,17991
2026-04-19 11:00:00+00:00,75222.46,75450.0,75216.96,75424.42,96.86511,7298049.8949046,22416
2026-04-19 11:15:00+00:00,75424.42,75544.0,75343.31,75371.18,137.09306,10342186.2837078,26612
2026-04-19 11:30:00+00:00,75371.17,75535.23,75371.17,75520.0,82.55015,6228845.0533504,15755
2026-04-19 11:45:00+00:00,75520.01,75641.99,75500.0,75604.11,102.20843,7723726.868782,22039
2026-04-19 12:00:00+00:00,75604.11,75679.82,75507.7,75673.04,219.37439,16587121.849588,33117
2026-04-19 12:15:00+00:00,75673.03,75700.0,75502.22,75520.0,109.26522,8260816.6068075,21015
2026-04-19 12:30:00+00:00,75520.0,75540.85,75432.07,75501.46,59.85824,4519090.9418303,15903
2026-04-19 12:45:00+00:00,75501.46,75680.86,75468.6,75571.6,50.9847,3852692.4281762,16685
2026-04-19 13:00:00+00:00,75571.61,75770.0,75552.44,75764.6,103.47592,7832732.3158094,24834
2026-04-19 13:15:00+00:00,75764.59,76240.66,75722.7,76045.85,400.39948,30451472.6902314,61445
2026-04-19 13:30:00+00:00,76045.85,76109.62,75934.79,76028.51,142.00846,10792735.0229642,30373
2026-04-19 13:45:00+00:00,76028.5,76028.51,75867.65,75921.75,114.51157,8693855.9403416,20670
2026-04-19 14:00:00+00:00,75921.75,76014.82,75674.55,75794.34,152.62847,11566396.3779981,32888
2026-04-19 14:15:00+00:00,75794.34,76028.57,75764.42,75960.01,92.01903,6982435.2163179,28548
2026-04-19 14:30:00+00:00,75960.01,75992.86,75792.76,75974.87,171.54083,13017713.6854591,30954
2026-04-19 14:45:00+00:00,75974.87,76147.01,75946.0,76024.01,205.05223,15595262.0503033,41147
2026-04-19 15:00:00+00:00,76024.02,76041.13,75871.89,76011.31,148.79509,11303422.7618683,40902
2026-04-19 15:15:00+00:00,76011.32,76155.3,75894.52,75963.13,192.49168,14631248.6335505,40970
2026-04-19 15:30:00+00:00,75963.14,75992.7,75401.44,75724.88,471.87791,35702685.2820451,93278
2026-04-19 15:45:00+00:00,75724.88,75880.26,75693.04,75846.63,284.60163,21568714.2486756,53067
2026-04-19 16:00:00+00:00,75846.63,75853.26,75622.0,75667.98,110.54288,8371497.9006963,38463
2026-04-19 16:15:00+00:00,75667.98,75762.3,75550.53,75569.99,67.7098,5121681.8028639,37042
2026-04-19 16:30:00+00:00,75569.99,75702.04,75503.82,75563.51,82.41839,6231149.5847782,31151
2026-04-19 16:45:00+00:00,75563.51,75634.7,75311.11,75382.86,143.0481,10792184.5025054,52221
2026-04-19 17:00:00+00:00,75382.87,75382.87,75012.49,75264.0,303.41346,22806728.5132893,64703
2026-04-19 17:15:00+00:00,75264.0,75381.76,75161.86,75271.22,98.72818,7430562.1249283,29348
2026-04-19 17:30:00+00:00,75271.22,75363.41,75084.53,75189.15,77.13539,5801516.7427106,33589
2026-04-19 17:45:00+00:00,75189.14,75222.0,74638.31,74791.26,316.40445,23683142.6143971,78700
2026-04-19 18:00:00+00:00,74791.27,74908.62,74675.77,74835.52,185.40029,13868196.347474,57499
2026-04-19 18:15:00+00:00,74835.52,74872.56,74608.0,74810.67,148.66863,11114242.2444139,53078
2026-04-19 18:30:00+00:00,74810.68,74820.79,74650.51,74699.99,127.70487,9543791.7348571,35955
2026-04-19 18:45:00+00:00,74700.0,74794.01,74612.85,74770.11,69.38902,5184275.5103492,28176
2026-04-19 19:00:00+00:00,74770.11,74982.55,74770.11,74950.82,112.56931,8432938.2019656,27858
2026-04-19 19:15:00+00:00,74950.81,75033.26,74844.22,74950.78,75.30544,5644666.9794261,25573
2026-04-19 19:30:00+00:00,74950.78,75071.61,74936.62,74967.23,65.53473,4914662.7553213,21697
2026-04-19 19:45:00+00:00,74967.22,75023.98,74892.6,74965.47,53.42326,4005357.8148864,14747
2026-04-19 20:00:00+00:00,74965.46,74965.47,74700.0,74799.87,103.65136,7751666.0461703,34271
2026-04-19 20:15:00+00:00,74799.88,74800.0,74640.0,74755.01,54.4528,4067772.1632895,22783
2026-04-19 20:30:00+00:00,74755.01,74867.33,74459.62,74537.0,148.83794,11109174.0199319,29653
2026-04-19 20:45:00+00:00,74537.0,74717.07,74427.53,74630.0,145.76913,10872169.1866099,37308
2026-04-19 21:00:00+00:00,74630.01,74740.0,74572.5,74687.8,80.41802,6004492.6102344,19619
2026-04-19 21:15:00+00:00,74687.81,74766.27,74582.69,74746.1,68.74938,5134582.7147197,17964
2026-04-19 21:30:00+00:00,74746.11,74810.0,74730.0,74743.21,37.07506,2772139.2529155,12972
2026-04-19 21:45:00+00:00,74743.21,74796.42,74368.6,74425.15,197.30635,14707768.1169855,47910
2026-04-19 22:00:00+00:00,74425.16,74425.16,73818.61,74021.14,689.7032,51093098.1061735,167347
2026-04-19 22:15:00+00:00,74021.14,74070.0,73762.9,73943.57,218.54779,16146223.3677628,76132
2026-04-19 22:30:00+00:00,73943.57,74181.81,73920.0,74140.59,138.13902,10233420.2114189,38589
2026-04-19 22:45:00+00:00,74140.59,74196.98,74028.88,74047.34,93.99979,6966021.9670221,27980
2026-04-19 23:00:00+00:00,74047.34,74054.22,73822.13,74026.01,171.29248,12664406.2735961,41087
2026-04-19 23:15:00+00:00,74026.01,74026.01,73790.0,73882.07,105.11779,7766419.3329655,32480
2026-04-19 23:30:00+00:00,73882.07,73955.99,73814.5,73888.92,81.6851,6034411.813186,34293
2026-04-19 23:45:00+00:00,73888.93,73977.41,73795.0,73801.79,57.54596,4252175.8942849,21700
2026-04-20 00:00:00+00:00,73801.8,74187.79,73724.31,74044.28,305.06868,22570594.3398575,59042
2026-04-20 00:15:00+00:00,74044.29,74280.0,74044.28,74228.92,166.33238,12338768.6266003,33096
2026-04-20 00:30:00+00:00,74228.92,74274.25,74150.0,74184.58,171.59417,12734052.657352,22687
2026-04-20 00:45:00+00:00,74184.58,74360.43,74171.86,74280.01,144.93845,10767242.3060593,21919
2026-04-20 01:00:00+00:00,74280.01,74363.5,74214.67,74360.0,241.23124,17922279.0987725,26934
2026-04-20 01:15:00+00:00,74360.0,74360.0,74217.26,74298.03,73.81391,5483500.5556892,16341
2026-04-20 01:30:00+00:00,74298.03,74706.0,74298.02,74681.18,287.25596,21419567.0104245,45792
2026-04-20 01:45:00+00:00,74681.19,74746.93,74560.0,74595.13,87.30905,6519723.416398,21714
2026-04-20 02:00:00+00:00,74595.12,74627.99,74344.72,74393.71,81.39548,6064169.3804367,26016
2026-04-20 02:15:00+00:00,74393.71,74472.0,74304.84,74451.55,147.55257,10978303.7219242,25957
2026-04-20 02:30:00+00:00,74451.55,74517.01,74402.16,74517.01,224.60658,16727705.8866943,23720
2026-04-20 02:45:00+00:00,74517.0,74517.01,74410.0,74410.01,286.13513,21311566.4073847,22563
2026-04-20 03:00:00+00:00,74410.01,74505.07,74359.04,74495.52,54.26413,4038767.8421707,17160
2026-04-20 03:15:00+00:00,74495.52,74593.67,74394.55,74505.21,111.02105,8269921.4683582,17215
2026-04-20 03:30:00+00:00,74505.2,74575.65,74457.52,74575.64,46.56021,3469312.8895208,12153
2026-04-20 03:45:00+00:00,74575.65,74640.65,74543.77,74634.0,69.35771,5173457.67533,18399
2026-04-20 04:00:00+00:00,74634.01,74637.43,74506.78,74506.78,89.62096,6682491.1405351,19037
2026-04-20 04:15:00+00:00,74506.78,74521.88,74435.19,74500.0,130.69382,9733933.401428,14154
2026-04-20 04:30:00+00:00,74499.99,74513.12,74437.31,74465.43,36.53332,2720916.0736038,9043
2026-04-20 04:45:00+00:00,74465.43,74610.17,74465.42,74567.64,76.91984,5736235.7595214,11545
2026-04-20 05:00:00+00:00,74567.63,74567.63,74260.03,74355.36,175.21831,13026808.3835436,24711
2026-04-20 05:15:00+00:00,74355.36,74355.36,74128.47,74139.55,105.78455,7850296.6640008,22079
2026-04-20 05:30:00+00:00,74139.55,74221.41,74109.71,74119.85,167.88011,12452079.2482449,22885
2026-04-20 05:45:00+00:00,74119.85,74297.21,74095.18,74264.15,80.8566,6000703.4294108,13612
2026-04-20 06:00:00+00:00,74264.16,74432.16,74263.91,74297.54,62.49009,4646549.7018916,20126
2026-04-20 06:15:00+00:00,74297.53,74401.32,74250.0,74344.14,56.33913,4188640.9154631,15833
2026-04-20 06:30:00+00:00,74344.14,74894.11,74344.14,74781.29,189.91131,14171401.6848672,41231
2026-04-20 06:45:00+00:00,74781.29,74821.62,74654.81,74786.59,132.56017,9908856.7997369,35135
2026-04-20 07:00:00+00:00,74786.59,74863.94,74689.07,74802.0,103.15045,7713789.1132731,31720
2026-04-20 07:15:00+00:00,74801.99,75572.0,74722.85,75211.03,560.60894,42191559.1805689,109800
2026-04-20 07:30:00+00:00,75211.02,75246.77,74848.11,74947.53,273.08444,20486340.1527481,64514
2026-04-20 07:45:00+00:00,74947.53,75018.68,74670.86,74837.17,238.90099,17872946.8863105,38484
2026-04-20 08:00:00+00:00,74837.18,74876.01,74663.36,74833.6,140.28354,10484239.2534676,34295
2026-04-20 08:15:00+00:00,74833.6,74998.83,74713.97,74817.71,129.44353,9691692.8548962,39934
2026-04-20 08:30:00+00:00,74817.72,74931.35,74751.0,74835.51,119.40878,8935702.9754644,27480
