date_sgt,equity,position,pnl,ret
2026-05-06,10000.0,0.0,0.0,0.0
2026-05-07,10000.0,0.0,0.0,0.0
2026-05-08,10051.894071653212,0.052083333333333336,51.89407165321245,0.005189407165321347
2026-05-09,10051.894071653212,0.0,0.0,0.0
2026-05-10,10051.894071653212,0.0,0.0,0.0
2026-05-11,9987.782280666379,0.16666666666666666,-64.11179098683351,-0.006378080641302408
2026-05-12,9987.782280666379,0.0,0.0,0.0
2026-05-13,9871.612604483977,0.052083333333333336,-116.16967618240233,-0.011631178265396835
2026-05-14,9983.432543713578,0.09375,111.819939229601,0.011327423766488653
2026-05-15,9983.432543713578,0.0,0.0,0.0
2026-05-16,9983.432543713578,0.0,0.0,0.0
2026-05-17,9983.432543713578,0.0,0.0,0.0
2026-05-18,9983.432543713578,0.0,0.0,0.0
2026-05-19,10052.849080749857,0.125,69.4165370362789,0.006953173343169361
2026-05-20,10052.849080749857,0.0,0.0,0.0
2026-05-21,10052.849080749857,0.0,0.0,0.0
2026-05-22,10052.849080749857,0.0,0.0,0.0
2026-05-23,10052.849080749857,0.0,0.0,0.0
2026-05-24,10052.849080749857,0.0,0.0,0.0
2026-05-25,10052.849080749857,0.0,0.0,0.0
2026-05-26,10007.33241637144,0.052083333333333336,-45.51666437841595,-0.0045277377599923785
2026-05-27,9942.230505646443,0.3541666666666667,-65.10191072499765,-0.006505421026935632
2026-05-28,9841.344901742554,0.2604166666666667,-100.8856039038892,-0.010147180136951484
2026-05-29,9841.344901742554,0.0,0.0,0.0
2026-05-30,9841.344901742554,0.0,0.0,0.0
2026-05-31,9841.344901742554,0.0,0.0,0.0
2026-06-01,9782.313035698837,0.03125,-59.031866043716946,-0.0059983535414214195
2026-06-02,9844.065441868714,0.13541666666666666,61.75240616987685,0.0063126589738564665
2026-06-03,9910.077602782232,0.07291666666666667,66.01216091351853,0.006705782413102934
2026-06-04,9917.930546775267,0.17708333333333334,7.852943993035296,0.0007924200301752116
2026-06-05,9853.789259475416,0.125,-64.14128729985168,-0.006467204725557063
2026-06-06,9853.789259475416,0.0,0.0,0.0
2026-06-07,9898.658351683613,0.11458333333333333,44.86909220819689,0.004553486077962354
2026-06-08,10003.312186518222,0.16666666666666666,104.65383483460937,0.010572527216964556
2026-06-09,10003.312186518222,0.0,0.0,0.0
2026-06-10,10003.312186518222,0.0,0.0,0.0
2026-06-11,9927.501074891772,0.16666666666666666,-75.81111162644993,-0.007578600988642825
2026-06-12,10034.578747272315,0.08333333333333333,107.07767238054294,0.010785964319999897
2026-06-13,10034.578747272315,0.0,0.0,0.0
2026-06-14,10034.578747272315,0.0,0.0,0.0
2026-06-15,10034.578747272315,0.0,0.0,0.0
2026-06-16,10034.578747272315,0.0,0.0,0.0
2026-06-17,10034.578747272315,0.0,0.0,0.0
2026-06-18,10018.45069847717,0.16666666666666666,-16.128048795144423,-0.0016072472199720744
2026-06-19,10018.45069847717,0.0,0.0,0.0
2026-06-20,10018.45069847717,0.0,0.0,0.0
2026-06-21,10018.45069847717,0.0,0.0,0.0
2026-06-22,10018.45069847717,0.0,0.0,0.0
2026-06-23,9957.030727038471,0.16666666666666666,-61.41997143869958,-0.006130685600722274
2026-06-24,9957.030727038471,0.0,0.0,0.0
2026-06-25,9957.030727038471,0.0,0.0,0.0
2026-06-26,10172.981454694114,0.09375,215.95072765564328,0.021688265666312212
2026-06-27,10172.981454694114,0.0,0.0,0.0
2026-06-28,10172.981454694114,0.0,0.0,0.0
2026-06-29,10393.615779101987,0.0625,220.63432440787255,0.021688265666312212
2026-06-30,10393.615779101987,0.0,0.0,0.0
2026-07-01,10458.761904608555,0.125,65.14612550656784,0.006267898187804377
2026-07-02,10458.761904608555,0.0,0.0,0.0
2026-07-03,10571.56973734304,0.03125,112.80783273448469,0.010785964320000119
2026-07-04,10571.56973734304,0.0,0.0,0.0
2026-07-05,10571.56973734304,0.0,0.0,0.0
2026-07-06,10685.594311336414,0.09375,114.02457399337436,0.010785964320000119
2026-07-07,10810.203989496724,0.125,124.60967816031007,0.011661464447336511
2026-07-08,10810.203989496724,0.0,0.0,0.0
2026-07-09,10810.203989496724,0.0,0.0,0.0
2026-07-10,10810.203989496724,0.0,0.0,0.0
2026-07-11,10810.203989496724,0.0,0.0,0.0
2026-07-12,10810.203989496724,0.0,0.0,0.0
2026-07-13,10700.482005824537,0.16666666666666666,-109.72198367218698,-0.010149853210799087
2026-07-14,10700.482005824537,0.0,0.0,0.0
2026-07-15,10700.482005824537,0.0,0.0,0.0
2026-07-16,10723.886178710014,0.15625,23.404172885477237,0.0021872073494200173
2026-07-17,10723.886178710014,0.0,0.0,0.0
2026-07-18,10723.886178710014,0.0,0.0,0.0
2026-07-19,10723.886178710014,0.0,0.0,0.0
2026-07-20,10757.540196914328,0.020833333333333332,33.654018204313616,0.003138229709219287
2026-07-21,10757.540196914328,0.0,0.0,0.0
2026-07-22,10757.540196914328,0.0,0.0,0.0
2026-07-23,10757.540196914328,0.0,0.0,0.0
2026-07-24,10757.540196914328,0.0,0.0,0.0
2026-07-25,10757.540196914328,0.0,0.0,0.0
2026-07-26,10757.540196914328,0.0,0.0,0.0
2026-07-27,10746.625808793655,0.010416666666666666,-10.914388120672811,-0.0010145802777296042
2026-07-28,10756.757314606924,0.3020833333333333,10.131505813269541,0.0009427615694015401
2026-07-29,10756.757314606924,0.0,0.0,0.0
2026-07-30,10872.779315201175,0.020833333333333332,116.02200059425013,0.010785964320000119
2026-07-31,10893.686722817443,0.125,20.907407616268756,0.0019229129011235635
2026-08-01,10893.686722817443,0.0,0.0,0.0
2026-08-02,10893.686722817443,0.0,0.0,0.0
2026-08-03,10893.686722817443,0.0,0.0,0.0
2026-08-04,10893.686722817443,0.0,0.0,0.0
