openTime,symbol,expiry,open,high,low,close,volume
2021-02-03 00:00:00+00:00,BTCUSDT_210326,2021-03-26 00:00:00+00:00,36054.1,38995.8,31111.0,38664.1,688.738
2021-02-04 00:00:00+00:00,BTCUSDT_210326,2021-03-26 00:00:00+00:00,38664.1,43820.2,37445.4,38328.3,757.761
2021-02-05 00:00:00+00:00,BTCUSDT_210326,2021-03-26 00:00:00+00:00,38304.6,39955.4,37858.3,39848.1,383.41
2021-02-06 00:00:00+00:00,BTCUSDT_210326,2021-03-26 00:00:00+00:00,39876.5,42727.3,39437.6,41245.1,453.336
2021-02-07 00:00:00+00:00,BTCUSDT_210326,2021-03-26 00:00:00+00:00,41240.3,41642.5,38639.2,40592.0,428.693
2021-02-08 00:00:00+00:00,BTCUSDT_210326,2021-03-26 00:00:00+00:00,40592.0,50175.0,39657.0,48946.5,706.203
2021-02-09 00:00:00+00:00,BTCUSDT_210326,2021-03-26 00:00:00+00:00,49065.2,51446.5,47382.5,48922.2,558.101
2021-02-10 00:00:00+00:00,BTCUSDT_210326,2021-03-26 00:00:00+00:00,48906.3,50193.6,46000.0,47261.5,632.816
2021-02-11 00:00:00+00:00,BTCUSDT_210326,2021-03-26 00:00:00+00:00,47299.9,51613.4,46176.9,50824.9,572.903
2021-02-12 00:00:00+00:00,BTCUSDT_210326,2021-03-26 00:00:00+00:00,50849.0,51999.0,48567.6,50232.5,538.779
2021-02-13 00:00:00+00:00,BTCUSDT_210326,2021-03-26 00:00:00+00:00,50192.2,51269.8,48682.4,50071.1,478.454
2021-02-14 00:00:00+00:00,BTCUSDT_210326,2021-03-26 00:00:00+00:00,50104.0,53859.2,49916.1,51738.4,610.694
2021-02-15 00:00:00+00:00,BTCUSDT_210326,2021-03-26 00:00:00+00:00,51752.5,52191.5,47078.5,50815.0,607.902
2021-02-16 00:00:00+00:00,BTCUSDT_210326,2021-03-26 00:00:00+00:00,50815.0,54250.0,49702.0,52111.9,610.167
2021-02-17 00:00:00+00:00,BTCUSDT_210326,2021-03-26 00:00:00+00:00,52075.3,56363.0,51940.7,55612.5,683.835
2021-02-18 00:00:00+00:00,BTCUSDT_210326,2021-03-26 00:00:00+00:00,55686.9,56241.5,54356.2,54481.4,541.554
2021-02-19 00:00:00+00:00,BTCUSDT_210326,2021-03-26 00:00:00+00:00,54565.4,59676.9,53217.4,58598.0,552.769
2021-02-20 00:00:00+00:00,BTCUSDT_210326,2021-03-26 00:00:00+00:00,58627.1,60459.8,55652.6,58277.5,569.654
2021-02-21 00:00:00+00:00,BTCUSDT_210326,2021-03-26 00:00:00+00:00,58247.3,61000.0,57862.0,59954.8,483.891
2021-02-22 00:00:00+00:00,BTCUSDT_210326,2021-03-26 00:00:00+00:00,59960.3,60017.4,48683.1,56512.3,979.39
2021-02-23 00:00:00+00:00,BTCUSDT_210326,2021-03-26 00:00:00+00:00,56534.5,56592.3,46349.3,50848.8,1313.471
2021-02-24 00:00:00+00:00,BTCUSDT_210326,2021-03-26 00:00:00+00:00,50801.3,53220.1,48789.0,51504.1,563.871
2021-02-25 00:00:00+00:00,BTCUSDT_210326,2021-03-26 00:00:00+00:00,51524.7,54110.6,48095.3,48682.0,520.231
2021-02-26 00:00:00+00:00,BTCUSDT_210326,2021-03-26 00:00:00+00:00,48611.3,49878.1,45140.7,47569.4,653.08
2021-02-27 00:00:00+00:00,BTCUSDT_210326,2021-03-26 00:00:00+00:00,47624.7,49848.9,46160.1,47432.4,480.403
2021-02-28 00:00:00+00:00,BTCUSDT_210326,2021-03-26 00:00:00+00:00,47436.2,47920.0,43647.1,46023.1,701.384
2021-03-01 00:00:00+00:00,BTCUSDT_210326,2021-03-26 00:00:00+00:00,46026.1,51000.0,45901.8,50698.0,574.841
2021-03-02 00:00:00+00:00,BTCUSDT_210326,2021-03-26 00:00:00+00:00,50809.3,51512.4,47882.6,49414.5,501.115
2021-03-03 00:00:00+00:00,BTCUSDT_210326,2021-03-26 00:00:00+00:00,49307.6,53756.3,49111.2,51345.1,695.472
2021-03-04 00:00:00+00:00,BTCUSDT_210326,2021-03-26 00:00:00+00:00,51344.2,52777.2,48080.0,48981.7,803.821
2021-03-05 00:00:00+00:00,BTCUSDT_210326,2021-03-26 00:00:00+00:00,48984.0,50103.2,46841.5,49418.6,904.695
2021-03-06 00:00:00+00:00,BTCUSDT_210326,2021-03-26 00:00:00+00:00,49431.7,49835.3,47507.3,49497.5,560.461
2021-03-07 00:00:00+00:00,BTCUSDT_210326,2021-03-26 00:00:00+00:00,49636.7,52310.9,49586.0,51799.6,713.065
2021-03-08 00:00:00+00:00,BTCUSDT_210326,2021-03-26 00:00:00+00:00,51894.5,53289.5,49850.0,53194.0,831.439
2021-03-09 00:00:00+00:00,BTCUSDT_210326,2021-03-26 00:00:00+00:00,53299.9,55881.3,52642.9,55873.7,766.062
2021-03-10 00:00:00+00:00,BTCUSDT_210326,2021-03-26 00:00:00+00:00,55827.6,58523.8,53776.5,56935.2,927.978
2021-03-11 00:00:00+00:00,BTCUSDT_210326,2021-03-26 00:00:00+00:00,56938.4,59479.2,55066.8,59048.3,871.456
2021-03-12 00:00:00+00:00,BTCUSDT_210326,2021-03-26 00:00:00+00:00,59050.1,59366.4,55941.4,58231.5,928.462
2021-03-13 00:00:00+00:00,BTCUSDT_210326,2021-03-26 00:00:00+00:00,58231.5,63448.3,56957.2,62791.0,926.521
2021-03-14 00:00:00+00:00,BTCUSDT_210326,2021-03-26 00:00:00+00:00,62818.2,63314.8,60201.6,60288.5,726.755
2021-03-15 00:00:00+00:00,BTCUSDT_210326,2021-03-26 00:00:00+00:00,60297.1,62030.3,55173.4,56251.5,1369.909
2021-03-16 00:00:00+00:00,BTCUSDT_210326,2021-03-26 00:00:00+00:00,56188.4,57588.0,53708.4,57588.0,1258.78
2021-03-17 00:00:00+00:00,BTCUSDT_210326,2021-03-26 00:00:00+00:00,57596.2,59594.0,54514.0,59544.9,1076.104
2021-03-18 00:00:00+00:00,BTCUSDT_210326,2021-03-26 00:00:00+00:00,59575.0,60765.1,57480.6,58069.5,885.8
2021-03-19 00:00:00+00:00,BTCUSDT_210326,2021-03-26 00:00:00+00:00,58016.5,59916.0,56636.3,58476.7,1002.129
2021-03-20 00:00:00+00:00,BTCUSDT_210326,2021-03-26 00:00:00+00:00,58326.9,60477.7,58242.7,58407.1,900.256
2021-03-21 00:00:00+00:00,BTCUSDT_210326,2021-03-26 00:00:00+00:00,58296.1,58839.5,55400.5,57586.1,981.64
2021-03-22 00:00:00+00:00,BTCUSDT_210326,2021-03-26 00:00:00+00:00,57639.0,58680.0,53567.6,54249.7,867.283
2021-03-23 00:00:00+00:00,BTCUSDT_210326,2021-03-26 00:00:00+00:00,54200.0,55937.9,52938.9,54451.1,790.037
2021-03-24 00:00:00+00:00,BTCUSDT_210326,2021-03-26 00:00:00+00:00,54402.5,57286.8,51750.0,52322.6,1168.704
2021-03-25 00:00:00+00:00,BTCUSDT_210326,2021-03-26 00:00:00+00:00,52319.0,53420.2,50560.5,51506.3,945.104
2021-03-26 00:00:00+00:00,BTCUSDT_210326,2021-03-26 00:00:00+00:00,51693.7,53258.3,51610.1,53258.3,240.086
2021-03-16 00:00:00+00:00,BTCUSDT_210625,2021-06-25 00:00:00+00:00,59114.2,60698.5,58420.1,60698.5,298.538
2021-03-17 00:00:00+00:00,BTCUSDT_210625,2021-06-25 00:00:00+00:00,60789.5,63130.5,57671.3,63086.2,474.918
2021-03-18 00:00:00+00:00,BTCUSDT_210625,2021-06-25 00:00:00+00:00,63129.5,64618.1,61129.5,61569.0,521.438
2021-03-19 00:00:00+00:00,BTCUSDT_210625,2021-06-25 00:00:00+00:00,61549.2,63857.3,59947.4,62236.2,504.428
2021-03-20 00:00:00+00:00,BTCUSDT_210625,2021-06-25 00:00:00+00:00,62150.0,64838.1,61922.0,62511.9,504.023
2021-03-21 00:00:00+00:00,BTCUSDT_210625,2021-06-25 00:00:00+00:00,62412.9,62950.0,59204.1,61204.1,566.446
2021-03-22 00:00:00+00:00,BTCUSDT_210625,2021-06-25 00:00:00+00:00,61308.9,62600.4,56818.2,57502.3,765.601
2021-03-23 00:00:00+00:00,BTCUSDT_210625,2021-06-25 00:00:00+00:00,57529.4,59182.8,55958.2,57680.0,890.123
2021-03-24 00:00:00+00:00,BTCUSDT_210625,2021-06-25 00:00:00+00:00,57647.1,61197.4,54652.7,55150.0,995.148
2021-03-25 00:00:00+00:00,BTCUSDT_210625,2021-06-25 00:00:00+00:00,55107.8,56079.2,52850.3,53976.5,799.549
2021-03-26 00:00:00+00:00,BTCUSDT_210625,2021-06-25 00:00:00+00:00,53909.6,58082.3,53883.8,58031.3,681.264
2021-03-27 00:00:00+00:00,BTCUSDT_210625,2021-06-25 00:00:00+00:00,58050.3,60104.0,57005.0,59332.3,590.108
2021-03-28 00:00:00+00:00,BTCUSDT_210625,2021-06-25 00:00:00+00:00,59355.7,60420.1,58131.3,59269.2,586.146
2021-03-29 00:00:00+00:00,BTCUSDT_210625,2021-06-25 00:00:00+00:00,59285.8,63034.4,58291.0,61740.9,601.097
2021-03-30 00:00:00+00:00,BTCUSDT_210625,2021-06-25 00:00:00+00:00,61781.6,64193.3,61160.1,63283.5,605.01
2021-03-31 00:00:00+00:00,BTCUSDT_210625,2021-06-25 00:00:00+00:00,63287.8,65172.0,60999.4,63605.2,823.712
2021-04-01 00:00:00+00:00,BTCUSDT_210625,2021-06-25 00:00:00+00:00,63608.8,64439.0,62437.6,63553.3,532.345
2021-04-02 00:00:00+00:00,BTCUSDT_210625,2021-06-25 00:00:00+00:00,63557.9,65939.4,63185.1,64000.4,556.77
2021-04-03 00:00:00+00:00,BTCUSDT_210625,2021-06-25 00:00:00+00:00,64039.0,65349.6,61350.7,61546.8,610.029
2021-04-04 00:00:00+00:00,BTCUSDT_210625,2021-06-25 00:00:00+00:00,61552.1,63061.6,60487.9,62840.0,541.517
2021-04-05 00:00:00+00:00,BTCUSDT_210625,2021-06-25 00:00:00+00:00,62897.5,64791.0,61027.8,64650.7,586.183
2021-04-06 00:00:00+00:00,BTCUSDT_210625,2021-06-25 00:00:00+00:00,64656.0,65333.2,62129.2,62870.3,599.678
2021-04-07 00:00:00+00:00,BTCUSDT_210625,2021-06-25 00:00:00+00:00,62861.5,63499.3,59313.0,59873.5,982.732
2021-04-08 00:00:00+00:00,BTCUSDT_210625,2021-06-25 00:00:00+00:00,59858.3,62679.9,59572.8,62632.3,682.104
2021-04-09 00:00:00+00:00,BTCUSDT_210625,2021-06-25 00:00:00+00:00,62664.5,64021.3,62114.5,62743.5,621.077
2021-04-10 00:00:00+00:00,BTCUSDT_210625,2021-06-25 00:00:00+00:00,62787.6,68390.3,62438.0,65711.2,962.437
2021-04-11 00:00:00+00:00,BTCUSDT_210625,2021-06-25 00:00:00+00:00,65735.9,66988.9,65017.3,66158.2,588.187
2021-04-12 00:00:00+00:00,BTCUSDT_210625,2021-06-25 00:00:00+00:00,66192.2,68040.9,65155.0,65551.0,799.694
