entry_ts,exit_ts,entry,exit,reason,pnl,ret_pct,hold_bars,date_sgt
2026-05-13 14:45:00+00:00,2026-05-13 18:15:00+00:00,79707.0,79767.98,SELL_RANGE,-4.351457840240388,-0.04354070282409834,14,2026-05-14
2026-05-18 16:30:00+00:00,2026-05-18 19:30:00+00:00,76278.34,76900.97,SELL_RANGE,69.50505039178947,0.6957707967950072,12,2026-05-19
2026-05-26 14:45:00+00:00,2026-05-26 18:45:00+00:00,76820.01,75840.55,TIME,-140.24823239281156,-1.3942413389427988,16,2026-05-27
2026-05-26 19:30:00+00:00,2026-05-26 23:30:00+00:00,75916.68,75952.01,TIME,-7.289434706090718,-0.07349006041886744,16,2026-05-27
2026-05-27 14:15:00+00:00,2026-05-27 18:15:00+00:00,75002.58,74903.5,TIME,-24.979626354094226,-0.25202286108024785,16,2026-05-28
2026-05-27 23:00:00+00:00,2026-05-28 03:00:00+00:00,74418.12,74212.0,TIME,-39.23128343425376,-0.39680936847100595,16,2026-05-28
2026-06-01 15:15:00+00:00,2026-06-01 19:15:00+00:00,71515.92,71621.61,TIME,2.727415289778355,0.027696605175466307,16,2026-06-02
2026-06-02 19:30:00+00:00,2026-06-02 21:00:00+00:00,66978.21,67781.94852,TAKE_PCT,106.31117048760447,1.0792799999999982,6,2026-06-03
2026-06-03 15:45:00+00:00,2026-06-03 19:45:00+00:00,66304.01,65462.0,TIME,-138.3109708355727,-1.3891612377592168,16,2026-06-04
2026-06-04 11:45:00+00:00,2026-06-04 12:15:00+00:00,62237.99,62984.84588,TAKE_PCT,105.96593330603325,1.0792800000000047,2,2026-06-04
2026-06-04 17:30:00+00:00,2026-06-04 18:30:00+00:00,63224.0,63982.688,TAKE_PCT,107.10887808180748,1.0792800000000031,4,2026-06-05
2026-06-05 11:45:00+00:00,2026-06-05 13:45:00+00:00,62114.41,61127.50624,STOP_BREAK,-171.32143906564474,-1.7078950113894684,8,2026-06-05
2026-06-07 13:15:00+00:00,2026-06-07 17:00:00+00:00,61775.44,62287.44,SELL_RANGE,69.83892880925666,0.7083110569507882,15,2026-06-08
2026-06-08 04:45:00+00:00,2026-06-08 07:45:00+00:00,62704.01,63283.99,SELL_RANGE,79.8740331668373,0.8043938497713239,12,2026-06-08
2026-06-10 18:45:00+00:00,2026-06-10 22:45:00+00:00,61776.0,61381.46,TIME,-75.90024322096562,-0.7582790663040676,16,2026-06-11
2026-06-12 07:15:00+00:00,2026-06-12 09:15:00+00:00,62983.32,63739.11984,TAKE_PCT,107.21223518078803,1.0792799999999996,8,2026-06-12
2026-06-17 19:30:00+00:00,2026-06-17 23:30:00+00:00,64470.0,64443.69,TIME,-16.144160829383978,-0.1607851931130722,16,2026-06-18
2026-06-22 16:15:00+00:00,2026-06-22 20:15:00+00:00,64730.01,64410.44,TIME,-61.49149337719588,-0.6134006004324728,16,2026-06-23
2026-06-26 02:15:00+00:00,2026-06-26 03:30:00+00:00,58678.0,59382.136,TAKE_PCT,107.53114121634258,1.0792799999999978,5,2026-06-26
2026-06-26 12:45:00+00:00,2026-06-26 13:45:00+00:00,59145.33,59855.07396,TAKE_PCT,108.69096826879112,1.0792799999999996,4,2026-06-26
2026-06-29 02:15:00+00:00,2026-06-29 02:30:00+00:00,59024.0,59732.288,TAKE_PCT,109.86330517444469,1.079280000000001,1,2026-06-29
2026-06-29 14:15:00+00:00,2026-06-29 15:30:00+00:00,59090.9,59799.9908,TAKE_PCT,111.04828686413312,1.079279999999997,5,2026-06-29
2026-06-30 16:30:00+00:00,2026-06-30 19:30:00+00:00,58316.0,58752.0,SELL_RANGE,65.22956285737341,0.6272021400644763,12,2026-07-01
2026-07-02 16:30:00+00:00,2026-07-02 17:15:00+00:00,61192.0,61926.304000000004,TAKE_PCT,112.94959653570132,1.0792800000000062,3,2026-07-03
2026-07-06 12:45:00+00:00,2026-07-06 15:00:00+00:00,61803.76,62545.40512,TAKE_PCT,114.16786685389332,1.0792800000000018,9,2026-07-06
2026-07-07 04:30:00+00:00,2026-07-07 07:00:00+00:00,63265.16,63396.01,SELL_RANGE,9.270584004484272,0.0867038003223236,10,2026-07-07
2026-07-07 14:45:00+00:00,2026-07-07 15:15:00+00:00,62938.0,63693.256,TAKE_PCT,115.49923137423824,1.079280000000002,2,2026-07-07
2026-07-13 03:00:00+00:00,2026-07-13 07:00:00+00:00,63376.0,62808.09,TIME,-109.85230646360262,-1.0155586562736738,16,2026-07-13
2026-07-16 09:30:00+00:00,2026-07-16 13:15:00+00:00,64032.86,64249.99,SELL_RANGE,23.436659311559197,0.21888806778269368,15,2026-07-16
2026-07-20 08:45:00+00:00,2026-07-20 09:15:00+00:00,63922.38,64200.0,SELL_RANGE,33.69905135846855,0.31404739936154236,2,2026-07-20
2026-07-27 15:45:00+00:00,2026-07-27 19:15:00+00:00,64580.8,64996.01,SELL_RANGE,56.24801161104241,0.522545267324033,14,2026-07-28
2026-07-28 00:45:00+00:00,2026-07-28 04:45:00+00:00,63610.0,63350.95,TIME,-57.02407644057879,-0.5270029397893459,16,2026-07-28
2026-07-29 17:30:00+00:00,2026-07-29 18:00:00+00:00,63756.17,64521.24404,TAKE_PCT,116.16780358886773,1.0792799999999994,2,2026-07-30
2026-07-31 03:15:00+00:00,2026-07-31 06:15:00+00:00,64258.0,64458.89,SELL_RANGE,20.93690193598043,0.19244275576581815,12,2026-07-31
2026-08-10 17:30:00+00:00,2026-08-10 20:30:00+00:00,63925.01,64181.48,SELL_RANGE,30.62636489826017,0.28096375112025973,12,2026-08-11
