date,open,high,low,close,volume,signal,ret,pos,turnover,cost,strategy_ret,equity,daily_pnl,year
2020-01-01 00:00:00+00:00,7195.24,7255.0,7175.15,7200.85,16792.388165,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,2020
2020-01-02 00:00:00+00:00,7200.77,7212.5,6924.74,6965.71,31951.483932000003,0.0,-0.032654478290757405,0.0,0.0,0.0,-0.0,100000.0,0.0,2020
2020-01-03 00:00:00+00:00,6965.49,7405.0,6871.04,7344.96,68428.500451,0.0,0.054445275499554135,0.0,0.0,0.0,0.0,100000.0,0.0,2020
2020-01-04 00:00:00+00:00,7345.0,7404.0,7272.21,7354.11,29987.974976999998,0.0,0.0012457521892561552,0.0,0.0,0.0,0.0,100000.0,0.0,2020
2020-01-05 00:00:00+00:00,7354.19,7495.0,7318.0,7358.75,38331.085604,0.0,0.000630939705824396,0.0,0.0,0.0,0.0,100000.0,0.0,2020
2020-01-06 00:00:00+00:00,7357.64,7795.34,7346.76,7758.0,54635.695316,0.0,0.05425513844063201,0.0,0.0,0.0,0.0,100000.0,0.0,2020
2020-01-07 00:00:00+00:00,7758.9,8207.68,7723.71,8145.28,91171.684661,0.0,0.049920082495488405,0.0,0.0,0.0,0.0,100000.0,0.0,2020
2020-01-08 00:00:00+00:00,8145.92,8455.0,7870.0,8055.98,112622.64264,0.0,-0.010963404572955193,0.0,0.0,0.0,-0.0,100000.0,0.0,2020
2020-01-09 00:00:00+00:00,8054.72,8055.96,7750.0,7817.76,64239.519830000005,0.0,-0.02957057986737799,0.0,0.0,0.0,-0.0,100000.0,0.0,2020
2020-01-10 00:00:00+00:00,7817.74,8199.0,7672.0,8197.02,82406.77744800001,0.0,0.048512617424940174,0.0,0.0,0.0,0.0,100000.0,0.0,2020
2020-01-11 00:00:00+00:00,8198.86,8286.34,8003.16,8020.01,54810.032667,0.0,-0.02159443309885789,0.0,0.0,0.0,-0.0,100000.0,0.0,2020
2020-01-12 00:00:00+00:00,8020.01,8197.0,7960.0,8184.98,38131.494336,0.0,0.02056979978827944,0.0,0.0,0.0,0.0,100000.0,0.0,2020
2020-01-13 00:00:00+00:00,8184.97,8196.0,8055.89,8110.34,31159.755683,0.0,-0.00911914262466118,0.0,0.0,0.0,-0.0,100000.0,0.0,2020
2020-01-14 00:00:00+00:00,8110.34,8880.0,8105.54,8810.01,120399.126742,0.0,0.08626888638454133,0.0,0.0,0.0,0.0,100000.0,0.0,2020
2020-01-15 00:00:00+00:00,8814.64,8916.48,8564.0,8821.41,84816.297606,0.0,0.0012939826402011967,0.0,0.0,0.0,0.0,100000.0,0.0,2020
2020-01-16 00:00:00+00:00,8820.01,8859.81,8586.0,8720.01,51991.074283999995,0.0,-0.011494761041602186,0.0,0.0,0.0,-0.0,100000.0,0.0,2020
2020-01-17 00:00:00+00:00,8720.15,9041.65,8672.44,8913.28,70897.737377,0.0,0.02216396540829657,0.0,0.0,0.0,0.0,100000.0,0.0,2020
2020-01-18 00:00:00+00:00,8913.27,8988.88,8806.38,8915.96,38294.746545,0.0,0.00030067494794261407,0.0,0.0,0.0,0.0,100000.0,0.0,2020
