timestamp,action,price,btc,cash,equity,realized_pnl,unrealized_pnl,note
2026-06-20,HOLD,64298.01,0.000000,100000.00,100000.00,0.00,0.00,
2026-06-20,HOLD,64298.01,0.000000,100000.00,100000.00,0.00,0.00,
2026-06-21,HOLD,63311.99,0.000000,100000.00,100000.00,0.00,0.00,
2026-06-21,HOLD,63311.99,0.000000,100000.00,100000.00,0.00,0.00,
2026-06-24,HOLD,61077.99,0.000000,100000.00,100000.00,0.00,0.00,
2026-06-28,HOLD,59577.01,0.000000,100000.00,100000.00,0.00,0.00,
2026-06-28,HOLD,59577.01,0.000000,100000.00,100000.00,0.00,0.00,
2026-06-28,HOLD,59577.01,0.000000,100000.00,100000.00,0.00,0.00,
2026-06-28,HOLD,59577.01,0.000000,100000.00,100000.00,0.00,0.00,
2026-06-29,HOLD,60260.21,0.000000,100000.00,100000.00,0.00,0.00,
2026-06-29,HOLD,60260.21,0.000000,100000.00,100000.00,0.00,0.00,
2026-06-29,HOLD,60260.21,0.000000,100000.00,100000.00,0.00,0.00,
2026-06-30,HOLD,58624.71,0.000000,100000.00,100000.00,0.00,0.00,
2026-07-02,HOLD,61560.00,0.000000,100000.00,100000.00,0.00,0.00,
2026-07-09,HOLD,63230.00,0.000000,100000.00,100000.00,0.00,0.00,
2026-07-28,HOLD,63915.00,0.000000,100000.00,100000.00,0.00,0.00,
2026-07-28,HOLD,63915.00,0.000000,100000.00,100000.00,0.00,0.00,
2026-07-29,HOLD,63984.28,0.000000,100000.00,100000.00,0.00,0.00,
2026-07-29,HOLD,63984.28,0.000000,100000.00,100000.00,0.00,0.00,
2026-07-29,HOLD,63984.28,0.000000,100000.00,100000.00,0.00,0.00,
2026-07-29,HOLD,63984.28,0.000000,100000.00,100000.00,0.00,0.00,
2026-07-30,HOLD,64780.02,0.000000,100000.00,100000.00,0.00,0.00,
2026-07-30,HOLD,64780.02,0.000000,100000.00,100000.00,0.00,0.00,
2026-07-30,HOLD,64780.02,0.000000,100000.00,100000.00,0.00,0.00,
2026-07-30,HOLD,64780.02,0.000000,100000.00,100000.00,0.00,0.00,
2026-07-31,HOLD,62887.88,0.000000,100000.00,100000.00,0.00,0.00,
2026-07-31,HOLD,62887.88,0.000000,100000.00,100000.00,0.00,0.00,
2026-07-31,HOLD,62887.88,0.000000,100000.00,100000.00,0.00,0.00,
2026-07-31,HOLD,62887.88,0.000000,100000.00,100000.00,0.00,0.00,
2026-08-01,HOLD,62823.64,0.000000,100000.00,100000.00,0.00,0.00,
2026-08-01,HOLD,62823.64,0.000000,100000.00,100000.00,0.00,0.00,
2026-08-01,HOLD,62823.64,0.000000,100000.00,100000.00,0.00,0.00,
2026-08-01,HOLD,62823.64,0.000000,100000.00,100000.00,0.00,0.00,
2026-08-02,HOLD,63570.00,0.000000,100000.00,100000.00,0.00,0.00,
2026-08-02,HOLD,63570.00,0.000000,100000.00,100000.00,0.00,0.00,
2026-08-02,HOLD,63570.00,0.000000,100000.00,100000.00,0.00,0.00,
2026-08-02,HOLD,63570.00,0.000000,100000.00,100000.00,0.00,0.00,
