date,btc_close,regime,donchian,best_funding_venue,best_funding_apy_7d,ann_basis,vol_14d,alloc_btc,alloc_funding,alloc_basis,alloc_yield,alloc_cash,expected_apy,expected_daily
2026-05-30,73884.38,CHOP_LOW_VOL,HOLD,binance,0.03680321071428571,0.023047898094521797,0.22831844680926122,0,0,0,0,100,0.045,1.2328767123287672
2026-05-31,73674.39,CHOP_LOW_VOL,HOLD,binance,0.03536511071428572,0.024369315367856352,0.22675123703274538,0,0,0,0,100,0.045,1.2328767123287672
2026-06-01,71408.9,TREND_DOWN,SELL,binance,0.037617421428571426,0.031016021812409634,0.2661934303619423,0,0,0,0,100,0.045,1.2328767123287672
2026-06-02,66760.83,TREND_DOWN,SELL,binance,0.03935091071428572,0.027853165318384946,0.40384160065183033,0,0,0,0,100,0.045,1.2328767123287672
2026-06-03,64142.75,TREND_DOWN,SELL,binance,0.037664610714285715,0.025045391149551822,0.41525146254161904,0,0,0,0,100,0.045,1.2328767123287672
2026-06-04,63885.99,TREND_DOWN,SELL,binance,0.03196435357142857,0.027667047589991476,0.4113814327056726,0,0,0,0,100,0.045,1.2328767123287672
2026-06-05,61056.47,TREND_DOWN,SELL,binance,0.025949153571428567,0.03127973023521151,0.4361443078784932,0,0,0,0,100,0.045,1.2328767123287672
2026-06-06,60884.62,CHOP_MID_VOL,HOLD,binance,0.022434725,0.03347880210378496,0.40838053944234914,0,0,0,0,100,0.045,1.2328767123287672
2026-06-07,63332.01,CHOP_MID_VOL,HOLD,binance,0.018325346428571428,0.03087492981252848,0.4918252757150418,0,0,0,0,100,0.045,1.2328767123287672
2026-06-08,63085.99,CHOP_MID_VOL,HOLD,binance,0.014927717857142855,0.03182485965232456,0.48619097719352855,0,0,0,0,100,0.045,1.2328767123287672
2026-06-09,61730.0,CHOP_MID_VOL,HOLD,binance,0.009126042857142856,0.029810599924402287,0.4872987344430375,0,0,0,0,100,0.045,1.2328767123287672
2026-06-10,61510.99,CHOP_MID_VOL,HOLD,bybit,0.0032936035714285945,0.03620049238355662,0.48938905728714843,0,0,0,0,100,0.045,1.2328767123287672
2026-06-11,63625.99,CHOP_MID_VOL,HOLD,bybit,0.006585903571428594,0.03103797944537017,0.5467021415156502,0,0,0,0,100,0.045,1.2328767123287672
2026-06-12,63580.01,CHOP_MID_VOL,HOLD,bybit,0.013070910714285736,0.03148636392685881,0.5473159598826955,0,0,0,0,100,0.045,1.2328767123287672
2026-06-13,64458.01,CHOP_MID_VOL,HOLD,bybit,0.012892582142857165,0.02883516279107066,0.5552545182025677,0,0,0,0,100,0.045,1.2328767123287672
2026-06-14,65746.45,CHOP_MID_VOL,HOLD,bybit,0.014869317857142877,0.029620374423553,0.5746152264899234,0,0,0,0,100,0.045,1.2328767123287672
2026-06-15,66328.74,CHOP_MID_VOL,HOLD,bybit,0.013609546428571451,0.029999402205131236,0.5654712047303192,0,0,0,0,100,0.045,1.2328767123287672
2026-06-16,65675.01,CHOP_MID_VOL,HOLD,bybit,0.012541660714285736,0.028739754487534026,0.4609083153727455,0,0,0,0,100,0.045,1.2328767123287672
2026-06-17,64509.4,CHOP_MID_VOL,HOLD,bybit,0.013529507142857168,0.02938246209079546,0.42221055918296974,0,0,0,0,100,0.045,1.2328767123287672
2026-06-18,62958.01,CHOP_MID_VOL,HOLD,bybit,0.008392653571428595,0.030796516181775542,0.4404066616781741,0,0,0,0,100,0.045,1.2328767123287672
2026-06-19,63543.91,CHOP_LOW_VOL,HOLD,bybit,0.0005315964285714509,0.03082391276796634,0.37142169217193505,0,0,0,0,100,0.045,1.2328767123287672
2026-06-20,64298.01,CHOP_LOW_VOL,HOLD,binance,0.0013030499999999987,0.029904462403741346,0.3724985426175779,0,0,0,0,100,0.045,1.2328767123287672
2026-06-21,63311.99,CHOP_LOW_VOL,HOLD,binance,0.006630224999999998,0.03164259612068246,0.32638359847523385,0,0,0,0,100,0.045,1.2328767123287672
2026-06-22,63956.12,CHOP_LOW_VOL,HOLD,binance,0.0076,-0.0009,0.3174,0,0,0,0,100,0.045,12.33
2026-06-23,62734.57,CHOP_LOW_VOL,HOLD,binance,0.012013453571428571,0.02968687097251795,0.3275859194709797,0,0,0,0,100,0.045,1.2328767123287672
2026-06-24,61077.99,CHOP_LOW_VOL,HOLD,binance,0.015044257142857141,0.026352725513337304,0.356573313736958,0,0,0,0,100,0.045,1.2328767123287672
2026-06-25,60814.97,CHOP_LOW_VOL,HOLD,binance,0.014,-0.0192,0.2902,0,0,0,0,100,0.045,12.33
2026-06-26,60097.27,CHOP_LOW_VOL,HOLD,binance,0.015204335714285713,0.03497694580875245,0.3180792166106953,0,0,0,0,100,0.045,1.2328767123287672
2026-06-27,60029.0,CHOP_LOW_VOL,HOLD,binance,0.015425682142857139,0.03436934579225944,0.3035566968536472,0,0,0,0,100,0.045,1.2328767123287672
